"","c1","c2","c3","a1","a2","a3","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2"
"1",1,2,1,1,2,2,0.05,4034.90425458004,980.310324221711,3054.59393035827,5260.52235196933,2418.53296678871,2841.98938518062,9295.42660654937,3398.84329101042,5896.58331553889
"2",1,2,1,1,2,2,0.1,4041.65090548972,984.940462018731,3056.71044347092,5291.78423520631,2449.79485002569,2841.98938518062,9333.43514069603,3434.73531204443,5898.69982865154
"3",1,2,1,1,2,2,0.15,4047.9310445474,989.5319541846,3058.39909036274,5317.36213967293,2475.37275449232,2841.98938518061,9365.29318422033,3464.90470867692,5900.38847554335
"4",1,2,1,1,2,2,0.2,4053.70720558392,993.267873221576,3060.43933236229,5342.94004413956,2500.95065895894,2841.98938518062,9396.64724972349,3494.21853218052,5902.42871754291
"5",1,2,1,1,2,2,0.25,4059.07283686932,996.930006767514,3062.14283010175,5359.99198045065,2518.00259527003,2841.98938518062,9419.06481731997,3514.93260203754,5904.13221528237
"6",1,2,1,1,2,2,0.3,4064.09530223683,1000.08081699108,3064.0144852457,5379.8859061469,2537.89652096631,2841.98938518059,9443.98120838373,3537.97733795739,5906.0038704263
"7",1,2,1,1,2,2,0.35,4068.77094583689,1002.71125082826,3066.0596950086,5402.62182122836,2560.63243604774,2841.98938518062,9471.39276706525,3563.343686876,5908.04908018922
"8",1,2,1,1,2,2,0.4,4073.15567625896,1005.34755762066,3067.80811863826,5416.83176815426,2574.84238297364,2841.98938518062,9489.98744441322,3580.1899405943,5909.79750381888
"9",1,2,1,1,2,2,0.45,4077.12839691482,1008.09523142036,3069.03316549444,5428.19972569498,2586.21034051436,2841.98938518062,9505.32812260981,3594.30557193472,5911.02255067506
"10",1,2,1,1,2,2,0.5,4080.71316555346,1010.44918716518,3070.26397838825,5448.09365139104,2606.10426621062,2841.98938518042,9528.8068169445,3616.5534533758,5912.25336356867
"11",1,2,1,1,2,2,0.55,4083.96491237498,1012.8819244766,3071.08298789835,5470.8295664727,2628.84018129208,2841.98938518062,9554.79447884768,3641.72210576868,5913.07237307897
"12",1,2,1,1,2,2,0.6,4086.91798014773,1014.94817826281,3071.96980188489,5496.40747093888,2654.41808575862,2841.98938518026,9583.3254510866,3669.36626402143,5913.95918706515
"13",1,2,1,1,2,2,0.65,4089.54204806933,1016.87812835391,3072.66391971541,5513.4594072504,2671.47002206978,2841.98938518062,9603.00145531973,3688.34815042369,5914.65330489603
"14",1,2,1,1,2,2,0.7,4091.84068534045,1018.39936159565,3073.4413237448,5533.35333294667,2691.36394776605,2841.98938518062,9625.19401828712,3709.7633093617,5915.43070892542
"15",1,2,1,1,2,2,0.75,4093.68009530044,1019.69929904402,3073.98079625642,5561.77322679848,2719.78384161786,2841.98938518062,9655.45332209891,3739.48314066188,5915.97018143703
"16",1,2,1,1,2,2,0.8,4095.12330579077,1020.66440831099,3074.45889747978,5593.03511003546,2751.04572485484,2841.98938518062,9688.15841582623,3771.71013316583,5916.4482826604
"17",1,2,1,1,2,2,0.85,4096.24731888936,1021.4957514942,3074.75156739516,5618.61301450152,2776.62362932148,2841.98938518004,9714.86033339089,3798.11938081568,5916.74095257521
"18",1,2,1,1,2,2,0.9,4096.97866477199,1022.00398986693,3074.97467490506,5632.8229614268,2790.83357624724,2841.98938517955,9729.80162619879,3812.83756611418,5916.96406008461
"19",1,2,1,1,2,2,0.95,4097.46093552474,1022.38935128973,3075.07158423501,5649.87489773806,2807.88551255849,2841.98938517957,9747.3358332628,3830.27486384821,5917.06096941458
"20",1,2,1,1,2,2,1,4097.68790119713,1022.55547732425,3075.13242387287,5666.92683405016,2824.93744886954,2841.98938518062,9764.61473524729,3847.49292619379,5917.12180905349
