"","n1","n2","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2"
"15",750,1250,4116.91951562084,288.405586273426,3828.51392934743,5046.83328709664,1329.36622235244,3717.4670647442,9163.75280271748,1617.77180862587,7545.98099409163,0.218399999999962,0.377600000000001,0,3.76488420846596e-14,0.403999999999999,0,0,0,0,0,0,0.0439999999999999,0.422400000000001,0.1296,0.404,0,0,0,0,0
"16",800,1200,3980.92214467878,313.189781900768,3667.73236277806,4990.78500351429,1437.21973202468,3553.56527148961,8971.70714819307,1750.40951392545,7221.29763426767,0.249166666666665,0.357499999999998,0,0,0.393333333333338,0,0,0,0,0,0,0.068333333333449,0.425833333333218,0.1125,0.393333333333337,0,0,0,0,0
"17",850,1150,3843.51222954856,336.709614021073,3506.80261552757,4879.5100566029,1529.39867445763,3350.11138214527,8723.02228615145,1866.1082884787,6856.91399767284,0.287314578004994,0.330332480818533,0,0,0.382352941176472,0,0,0,0,0,0,0.0930434782608695,0.436521739130436,0.0880818414322266,0.382352941176473,0,0,0,0,0
"18",900,1100,3703.13360260507,361.309331701106,3341.82427090403,4722.04180640312,1607.98545925478,3114.05634714834,8425.17540900819,1969.29479095589,6455.88061805237,0.322222222222223,0.30888888888889,0,0,0.368888888888889,0,0,0,0,0,0,0.11535353535365,0.45373737373726,0.062020202020202,0.368888888888889,0,0,0,0,0
"19",950,1050,3566.53135159294,388.831558983675,3177.69979260929,4792.53878636799,1770.50513002893,3022.03365633906,8359.07013796093,2159.33668901261,6199.73344894834,0.360167084377575,0.287368421052632,0,0,0.352464494569793,0,0,0,0,0,0,0.146666666666666,0.461904761904762,0.0389640768587767,0.352464494569794,0,0,0,0,0
"20",1000,1000,3433.59396410665,415.595842814457,3017.99812129219,4877.48228969383,1941.00890637425,2936.47338331959,8311.07625380049,2356.6047491887,5954.47150461178,0.393999999999886,0.267000000000115,0,0,0.339,0,0,0,0,0,0,0.18,0.456000000000001,0.025,0.339,0,0,0,0,0
"21",1050,950,3304.14048103065,440.803010040256,2863.33747099041,4846.10636576238,2060.98776474952,2785.11860101286,8150.24684679303,2501.79077478978,5648.45607200327,0.423809523809524,0.245714285714287,0,0,0.330476190476189,0,0,0,0,0,0,0.198947368421052,0.464962406015168,0.00561403508759502,0.330476190476189,0,0,0,0,0
"22",1100,900,3176.47437488773,467.771615178306,2708.70275970944,4842.93465580157,2196.16515900697,2646.7694967946,8019.4090306893,2663.93677418528,5355.47225650404,0.452525252525252,0.226363636363636,0,0,0.321111111111111,0,0,0,0,0,0,0.231414141414253,0.447474747474636,0,0.321111111111112,0,0,0,0,0
"23",1150,850,3051.77400590984,494.977502398582,2556.79650351128,4813.71281019417,2320.32104379256,2493.39176640161,7865.48681610401,2815.29854619114,5050.18826991289,0.478056265984535,0.209769820971986,0,0,0.312173913043479,0,0,0,0,0,0,0.265882352941176,0.421943734015349,0,0.312173913043479,0,0,0,0,0
"24",1200,800,2928.55294067618,524.654550594295,2403.8983900819,4845.88529345941,2486.35502275489,2359.53027070452,7774.43823413558,3011.00957334918,4763.42866078642,0.505,0.1975,0,1.12383282581781e-13,0.297499999999888,0,0,0,0,0,0,0.307499999999999,0.395000000000113,0,0.297499999999888,0,0,0,0,0
"25",1250,750,2803.0801233144,553.886720044777,2249.19340326963,4855.39637897409,2638.99511042231,2216.40126855178,7658.47650228849,3192.88183046709,4465.59467182141,0.526933333333221,0.187466666666778,0,0,0.285600000000001,0,0,0,0,0,0,0.341333333333334,0.373066666666666,0,0.285600000000001,0,0,0,0,0
"26",1300,700,2673.29344774252,580.733783633991,2092.55966410854,4496.69983014153,2579.21404407473,1917.4857860668,7169.99327788405,3159.94782770872,4010.04545017534,0.558571428571313,0.165714285714402,0,0,0.275714285714285,0,0,0,0,0,0,0.382857142857143,0.341428571428573,0,0.275714285714285,0,0,0,0,0
"27",1350,650,2545.98146095682,607.389272571343,1938.5921883855,4758.33864608692,2873.56099833768,1884.77764774924,7304.32010704374,3480.95027090903,3823.36983613474,0.596296296296296,0.137777777777778,0,0,0.265925925925926,0,0,0,0,0,0,0.430370370370483,0.303703703703591,0,0.265925925925926,0,0,0,0,0
"28",1400,600,2419.02898755996,640.502636591943,1778.52635096805,4952.33844008864,3161.61742920892,1790.72101087972,7371.36742764859,3802.12006580086,3569.24736184777,0.640952380952342,0.115714285714286,0,3.85871773472308e-14,0.243333333333334,0,0,0,0,0,0.0349999999999968,0.427619047619049,0.29404761904762,0,0.243333333333334,0,0,0,0,0
"29",1450,550,2292.9882546457,676.032769210826,1616.95548543488,4782.00017972375,3219.84569336693,1562.15448635683,7074.98843436946,3895.87846257775,3179.1099717917,0.694231974921629,0.0875862068965518,0,0,0.218181818181819,0,0,0,0,0,0.0760501567399236,0.423949843260077,0.281818181818182,0,0.218181818181819,0,0,0,0,0
"30",1500,500,2172.6582557,706.646805034592,1466.0114506654,5064.677129007,3577.69030310932,1486.98682589768,7237.335384707,4284.33710814391,2952.99827656308,0.728666666666556,0.0733333333333334,0,0,0.198000000000111,0,0,0,0,0,0.102,0.426666666666556,0.273333333333333,0,0.198000000000111,0,0,0,0,0
"31",1550,450,2051.20162791408,742.038090600511,1309.16353731356,5077.75646666558,3753.89180270294,1323.86466396264,7128.95809457966,4495.92989330345,2633.0282012762,0.778709677419354,0.044516129032258,0,0,0.176774193548387,0,0,0,0,0,0.137491039426636,0.426953405017809,0.258781362007169,0,0.176774193548387,0,0,0,0,0
"32",1600,400,1931.14604382719,774.128971923477,1157.01707190371,5082.48497345264,3920.10990805455,1162.37506539809,7013.63101727983,4694.23887997802,2319.3921373018,0.82624999999989,0.016875,0,0,0.156875000000111,0,0,0,0,0,0.166874999999891,0.435625000000109,0.240624999999889,0,0.156875000000111,0,0,0,0,0
"33",1650,350,1811.91186201843,803.067036919761,1008.84482509869,5224.64981693342,4189.77294317751,1034.87687375591,7036.56167895185,4992.83998009727,2043.72169885461,0.8587878787879,0,0,3.78098024555959e-14,0.141212121212062,0,0,0,0,0,0.185714285714285,0.446147186147304,0.226926406926349,0,0.141212121212063,0,0,0,0,0
"34",1700,300,1693.91385205275,831.614320755005,862.299531297759,5217.43433514973,4343.49223545966,873.942099690071,6911.34818720248,5175.10655621466,1736.24163098783,0.877058823529412,0,0,0,0.122941176470588,0,0,0,0,0,0.196666666666666,0.460784313725603,0.219607843137142,0,0.122941176470588,0,0,0,0,0
"35",1750,250,1573.5178522829,859.535673129139,713.982179153782,5192.02515922145,4478.4428118848,713.582347336648,6765.54301150436,5337.97848501394,1427.56452649043,0.89657142857145,0,0,3.7416234231701e-14,0.103428571428513,0,0,0,0,0,0.213142857142975,0.466857142857025,0.216571428571487,0,0.103428571428513,0,0,0,0,0
"36",1800,200,1459.91224236207,891.503232699353,568.40900966272,5083.62973181055,4535.23385998633,548.395871824223,6543.54197417262,5426.73709268568,1116.80488148694,0.918888888888889,0,0,0,0.081111111111111,0,0,0,0,0,0.25277777777789,0.43222222222211,0.233888888888889,0,0.081111111111111,0,0,0,0,0
"37",1850,150,1341.8662714102,916.824118796745,425.042152613444,5140.79476462943,4731.06085671532,409.733907914106,6482.66103603962,5647.88497551207,834.77606052755,0.936216216216245,0,0,3.7526396140911e-14,0.0637837837837161,0,0,0,0,0,0.246666666666666,0.479099099099235,0.210450450450383,0,0.063783783783716,0,0,0,0,0
"38",1900,100,1221.63725695048,941.540234910319,280.097022040166,4951.72318645045,4694.08930578186,257.633880668586,6173.36044340093,5635.62954069218,537.730902708752,0.958947368421042,0,0,0,0.0410526315789569,0,0,0,0,0,0.270000000000138,0.477894736841922,0.211052631579049,0,0.041052631578889,0,0,0,0,0
"39",1950,50,1108.34801748717,967.184800586429,141.163216900739,5177.78267466304,5045.56146233766,132.221212325382,6286.13069215021,6012.74626292409,273.38442922612,0.978461538461564,0,0,0,0.0215384615384378,0,0,0,0,0,0.296923076923237,0.463076923076763,0.218461538461563,0,0.0215384615384378,0,0,0,0,0
