"","c1","c2","c3","a1","a2","a3","pmin","pmax","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1_1","alp1_2","alp1_3","alp1_4","alp1_5","alp1_6","alp1_7","alp1_8","alp1_9","alp1_10","alp2_1","alp2_2","alp2_3","alp2_4","alp2_5","alp2_6","alp2_7","alp2_8","alp2_9","alp2_10","alp12_diff_1","alp12_diff_2","alp12_diff_3","alp12_diff_4","alp12_diff_5","alp12_diff_6","alp12_diff_7","alp12_diff_8","alp12_diff_9","alp12_diff_10","alp_diff"
"1",2,0.7,0,2,1,0,0.6,1.7,0.05,2955.26521890056,1473.93308320427,1481.33213569626,713.836441475171,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.092,0.345,0.346,0.217,0,0,0,0,0,0,0.071,0.362,0.348,0.219,0,0,0,0,0,0,0.0209999999999999,0.0170000000000005,0.00200000000000006,0.00199999999999956,0,0,0,0.042
"2",2,0.7,0,2,1,0,0.6,1.7,0.1,2955.26521890057,1473.93308320427,1481.33213569627,713.836441475171,369.768815127164,344.067626348007,3669.10166037574,1843.70189833144,1825.39976204427,0,0,0,0.0919999999999964,0.345000000000001,0.346000000000002,0.217,0,0,0,0,0,0,0.0709999999999997,0.362,0.348,0.219,0,0,0,0,0,0,0.0209999999999967,0.0169999999999995,0.00199999999999823,0.00199999999999956,0,0,0,0.041999999999994
"3",2,0.7,0,2,1,0,0.6,1.7,0.15,2955.26521890056,1473.93308320427,1481.33213569626,713.836441475171,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.092,0.344999999999998,0.346000000000002,0.217,0,0,0,0,0,0,0.071,0.362,0.348000000000002,0.219,0,0,0,0,0,0,0.021,0.0170000000000025,0.00200000000000033,0.00199999999999989,0,0,0,0.0420000000000027
"4",2,0.7,0,2,1,0,0.6,1.7,0.2,2955.26521890056,1473.93308320427,1481.33213569626,713.836441475171,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.092,0.345,0.346,0.216999999999999,0,0,0,0,0,0,0.071,0.362,0.348,0.218999999999999,0,0,0,0,0,0,0.021,0.0170000000000002,0.002,0.00199999999999992,0,0,0,0.0420000000000001
"5",2,0.7,0,2,1,0,0.6,1.7,0.25,2955.26521890056,1473.93308320427,1481.33213569626,713.83644147517,369.768815127163,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.0919999999999986,0.344999999999998,0.346,0.217,0,0,0,0,0,0,0.071,0.362,0.347999999999999,0.219,0,0,0,0,0,0,0.0209999999999985,0.0170000000000024,0.00199999999999873,0.00199999999999997,0,0,0,0.0419999999999996
"6",2,0.7,0,2,1,0,0.6,1.7,0.3,2955.26521890056,1473.93308320427,1481.33213569626,713.836441475171,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.0919999999999998,0.345,0.346,0.216999999999999,0,0,0,0,0,0,0.0710000000000001,0.361999999999999,0.348,0.218999999999999,0,0,0,0,0,0,0.0209999999999997,0.0169999999999987,0.00200000000000033,0.00199999999999981,0,0,0,0.0419999999999986
"7",2,0.7,0,2,1,0,0.6,1.7,0.35,2955.26521890056,1473.93308320427,1481.33213569626,713.836441475171,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.092,0.345,0.346,0.217,0,0,0,0,0,0,0.071,0.362,0.348,0.219,0,0,0,0,0,0,0.021,0.017,0.00200000000000039,0.00199999999999986,0,0,0,0.0420000000000003
"8",2,0.7,0,2,1,0,0.6,1.7,0.4,2955.26521890056,1473.93308320427,1481.33213569626,713.83644147517,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.092,0.345,0.345999999999999,0.217,0,0,0,0,0,0,0.071,0.362,0.347999999999999,0.219,0,0,0,0,0,0,0.021,0.0170000000000004,0.00200000000000017,0.00199999999999961,0,0,0,0.0420000000000002
"9",2,0.7,0,2,1,0,0.6,1.7,0.45,2955.26521890056,1473.93308320427,1481.33213569626,713.836441475171,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.092,0.345,0.346,0.216999999999999,0,0,0,0,0,0,0.071,0.362,0.348,0.219,0,0,0,0,0,0,0.021,0.0170000000000005,0.00199999999999956,0.00200000000000039,0,0,0,0.0420000000000004
"10",2,0.7,0,2,1,0,0.6,1.7,0.5,2955.26521890056,1473.93308320427,1481.33213569626,713.836441475171,369.768815127164,344.067626348007,3669.10166037573,1843.70189833144,1825.39976204427,0,0,0,0.092,0.345,0.346,0.216999999999999,0,0,0,0,0,0,0.071,0.362,0.348,0.219,0,0,0,0,0,0,0.021,0.0170000000000005,0.00199999999999956,0.00200000000000039,0,0,0,0.0420000000000004
