"","c1","c2","c3","a1","a2","a3","pmin","pmax","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1_1","alp1_2","alp1_3","alp1_4","alp1_5","alp1_6","alp1_7","alp1_8","alp1_9","alp1_10","alp2_1","alp2_2","alp2_3","alp2_4","alp2_5","alp2_6","alp2_7","alp2_8","alp2_9","alp2_10","alp12_diff_1","alp12_diff_2","alp12_diff_3","alp12_diff_4","alp12_diff_5","alp12_diff_6","alp12_diff_7","alp12_diff_8","alp12_diff_9","alp12_diff_10","alp_diff"
"1",2,1,0,2,1,0,0.6,1.8,0.05,3152.98671250341,1572.02887395095,1580.95783855243,763.328075858069,395.221159795097,368.106916062972,3916.31478836148,1967.25003374605,1949.0647546154,0,0,0,0.139,0.264,0.28,0.246000000000001,0.0710000000000001,0,0,0,0,0,0.128,0.274,0.266000000000001,0.261,0.0710000000000001,0,0,0,0,0,0.011,0.0099999999999999,0.0139999999999996,0.0149999999999984,0,0,0,0.0499999999999978
"2",2,1,0,2,1,0,0.6,1.8,0.1,3152.9911261224,1572.03004847329,1580.96107764908,763.090732182598,394.679233169938,368.41149901266,3916.081858305,1966.70928164323,1949.37257666174,0,0,0,0.14,0.259,0.284,0.243,0.0740000000000001,0,0,0,0,0,0.127,0.282,0.253000000000001,0.269,0.069,0,0,0,0,0,0.013,0.023,0.0309999999999994,0.026,0.00500000000000005,0,0,0.0979999999999994
"3",2,1,0,2,1,0,0.6,1.8,0.15,3152.9911261224,1572.03004847329,1580.96107764908,763.090732182597,394.679233169938,368.41149901266,3916.081858305,1966.70928164323,1949.37257666174,0,0,0,0.14,0.259,0.283999999999999,0.243,0.074,0,0,0,0,0,0.127,0.282,0.253,0.269,0.069,0,0,0,0,0,0.0129999999999999,0.0230000000000009,0.0309999999999995,0.0259999999999999,0.00499999999999999,0,0,0.0980000000000002
"4",2,1,0,2,1,0,0.6,1.8,0.2,3152.9911261224,1572.03004847329,1580.96107764908,763.090732182597,394.679233169938,368.41149901266,3916.081858305,1966.70928164323,1949.37257666174,0,0,0,0.14,0.259,0.284,0.243,0.074,0,0,0,0,0,0.127,0.282,0.253,0.269,0.0689999999999999,0,0,0,0,0,0.013,0.0230000000000003,0.031,0.0259999999999999,0.00500000000000012,0,0,0.0980000000000003
"5",2,1,0,2,1,0,0.6,1.8,0.25,3152.9911261224,1572.03004847329,1580.96107764908,763.090732182597,394.679233169938,368.41149901266,3916.08185830499,1966.70928164323,1949.37257666174,0,0,0,0.14,0.259,0.284,0.243,0.0739999999999996,0,0,0,0,0,0.127,0.282,0.253,0.268999999999999,0.069,0,0,0,0,0,0.013,0.023,0.0309999999999996,0.0259999999999995,0.00499999999999962,0,0,0.0979999999999987
"6",2,1,0,2,1,0,0.6,1.8,0.3,3152.9911261224,1572.03004847329,1580.96107764908,763.090732182597,394.679233169938,368.41149901266,3916.081858305,1966.70928164323,1949.37257666174,0,0,0,0.14,0.258999999999999,0.284,0.243,0.074,0,0,0,0,0,0.127,0.282000000000001,0.253,0.269,0.069,0,0,0,0,0,0.0129999999999999,0.0230000000000022,0.031,0.026,0.00499999999999999,0,0,0.0980000000000021
"7",2,1,0,2,1,0,0.6,1.8,0.35,3152.9911261224,1572.03004847329,1580.96107764908,763.090732182597,394.679233169938,368.41149901266,3916.081858305,1966.70928164323,1949.37257666174,0,0,0,0.14,0.259,0.284,0.243,0.074,0,0,0,0,0,0.127,0.282,0.253,0.269,0.069,0,0,0,0,0,0.013,0.0230000000000004,0.031,0.026,0.00499999999999999,0,0,0.0980000000000003
"8",2,1,0,2,1,0,0.6,1.8,0.4,3152.9911261224,1572.03004847329,1580.96107764908,763.090732182597,394.679233169938,368.41149901266,3916.081858305,1966.70928164323,1949.37257666174,0,0,0,0.14,0.259,0.284,0.243,0.074,0,0,0,0,0,0.127,0.282,0.253,0.269,0.069,0,0,0,0,0,0.013,0.023,0.031,0.0259999999999999,0.00499999999999999,0,0,0.0979999999999999
"9",2,1,0,2,1,0,0.6,1.8,0.45,3152.9911261224,1572.03004847329,1580.96107764908,763.090732182597,394.679233169938,368.41149901266,3916.081858305,1966.70928164323,1949.37257666174,0,0,0,0.14,0.259,0.284,0.243,0.074,0,0,0,0,0,0.127,0.282,0.253,0.269,0.069,0,0,0,0,0,0.0129999999999998,0.0229999999999995,0.031,0.026,0.00499999999999999,0,0,0.0979999999999993
"10",2,1,0,2,1,0,0.6,1.8,0.5,3152.9911261224,1572.03004847329,1580.96107764908,763.090732182597,394.679233169938,368.41149901266,3916.081858305,1966.70928164323,1949.37257666174,0,0,0,0.14,0.258999999999999,0.284,0.243,0.074,0,0,0,0,0,0.127,0.282000000000001,0.253,0.269,0.069,0,0,0,0,0,0.0129999999999999,0.0230000000000012,0.0310000000000001,0.026,0.00499999999999999,0,0,0.0980000000000012
"11",2,1,0,2,1,0,0.6,1.8,0.55,3152.9911261224,1572.03004847329,1580.96107764908,763.090732182597,394.679233169938,368.41149901266,3916.081858305,1966.70928164323,1949.37257666174,0,0,0,0.14,0.259000000000001,0.284,0.243,0.074,0,0,0,0,0,0.127,0.282,0.253,0.269,0.069,0,0,0,0,0,0.0129999999999997,0.0229999999999994,0.0310000000000003,0.026,0.00499999999999999,0,0,0.0979999999999994
"12",2,1,0,2,1,0,0.6,1.8,0.6,3152.9911261224,1572.03004847329,1580.96107764908,763.090732182597,394.679233169938,368.41149901266,3916.081858305,1966.70928164323,1949.37257666174,0,0,0,0.14,0.259000000000001,0.283999999999999,0.243,0.074,0,0,0,0,0,0.127,0.282000000000001,0.253,0.269,0.069,0,0,0,0,0,0.0129999999999995,0.023,0.0309999999999992,0.026,0.00499999999999999,0,0,0.0979999999999987
"13",2,1,0,2,1,0,0.6,1.8,0.65,3152.9911261224,1572.03004847329,1580.96107764908,763.090732182597,394.679233169938,368.41149901266,3916.081858305,1966.70928164323,1949.37257666174,0,0,0,0.14,0.259,0.284,0.243,0.074,0,0,0,0,0,0.127,0.282,0.253,0.269,0.069,0,0,0,0,0,0.013,0.0229999999999999,0.0310000000000002,0.0260000000000002,0.00499999999999999,0,0,0.0980000000000004
"14",2,1,0,2,1,0,0.6,1.8,0.7,3152.9911261224,1572.03004847329,1580.96107764908,763.090732182597,394.679233169938,368.41149901266,3916.081858305,1966.70928164323,1949.37257666174,0,0,0,0.14,0.259,0.284,0.243,0.074,0,0,0,0,0,0.127,0.282,0.253,0.269,0.069,0,0,0,0,0,0.0129999999999999,0.0230000000000004,0.031,0.026,0.00499999999999999,0,0,0.0980000000000003
"15",2,1,0,2,1,0,0.6,1.8,0.75,3152.9911261224,1572.03004847329,1580.96107764908,763.090732182597,394.679233169938,368.41149901266,3916.081858305,1966.70928164323,1949.37257666174,0,0,0,0.140000000000002,0.259,0.284,0.243,0.074,0,0,0,0,0,0.127,0.282000000000001,0.253000000000001,0.268999999999999,0.0690000000000001,0,0,0,0,0,0.0130000000000016,0.0230000000000012,0.0309999999999988,0.0259999999999992,0.00499999999999991,0,0,0.0980000000000006
"16",2,1,0,2,1,0,0.6,1.8,0.8,3152.9911261224,1572.03004847329,1580.96107764908,763.090732182597,394.679233169938,368.41149901266,3916.081858305,1966.70928164323,1949.37257666174,0,0,0,0.140000000000002,0.259,0.284,0.243,0.074,0,0,0,0,0,0.127,0.282000000000001,0.253000000000001,0.268999999999999,0.0690000000000001,0,0,0,0,0,0.0130000000000016,0.0230000000000012,0.0309999999999988,0.0259999999999992,0.00499999999999991,0,0,0.0980000000000006
