"","a1","a2","a3","c1","c2","c3","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1_1","alp1_2","alp1_3","alp1_4","alp1_5","alp1_6","alp1_7","alp1_8","alp1_9","alp1_10","alp2_1","alp2_2","alp2_3","alp2_4","alp2_5","alp2_6","alp2_7","alp2_8","alp2_9","alp2_10"
"1",1,1,2,1,1,2,0.05,3532.58056654949,458.727265341985,3073.85330120741,5044.666459474,2134.28196362313,2910.38449585087,8577.24702602349,2593.00922896511,5984.23779705829,0.733333333333042,0,0,0,0,0,0,0,0,0.266666666666958,0,0,0.241999999999999,0.440999999999998,0.316999999999998,0,0,0,0,0
"2",1,1,2,1,1,2,0.1,3549.65378420748,473.672194727845,3075.98158947955,5235.13495592466,2324.75046007379,2910.38449585087,8784.78874013215,2798.42265480163,5986.36608533043,0.798777777777479,0,0,0,0,0,0,0,0,0.201222222222521,0,0,0.197,0.444999999999998,0.357999999999997,0,0,0,0,0
"3",1,1,2,1,1,2,0.15,3561.63528959469,484.413235641036,3077.22205395354,5430.77746925709,2520.39297340622,2910.38449585087,8992.41275885179,3004.80620904726,5987.60654980442,0.865999999999776,0,0,0,0,0,0,0,0,0.134000000000225,6.31841740893131e-15,0,0.157000000000702,0.454999999999296,0.387999999999996,0,0,0,0,0
"4",1,1,2,1,1,2,0.2,3568.30212903777,490.531372687615,3077.77075635007,5631.91737552568,2721.53287967481,2910.38449585087,9200.21950456345,3212.06425236242,5988.15525220094,0.935111111110809,0,0,0,0,0,0,0,0,0.0648888888891903,0,0,0.13,0.455999999999998,0.413999999999996,0,0,0,0,0
"5",1,1,2,1,1,2,0.25,3570.11042261924,492.16701243585,3077.9434101833,5820.76899170175,2910.38449585087,2910.38449585087,9390.87941432099,3402.55150828672,5988.32790603417,1,0,0,0,0,0,0,0,0,0,0,0,0.109,0.441,0.449999999999998,0,0,0,0,0
"6",1,1,2,1,1,2,0.3,3570.11042261924,492.16701243585,3077.9434101833,5820.76899170175,2910.38449585087,2910.38449585087,9390.87941432099,3402.55150828672,5988.32790603417,1,0,0,0,0,0,0,0,0,0,0,0,0.109,0.441,0.449999999999998,0,0,0,0,0
"7",1,1,2,1,1,2,0.35,3570.11042261924,492.16701243585,3077.9434101833,5820.76899170175,2910.38449585087,2910.38449585087,9390.87941432099,3402.55150828672,5988.32790603417,1,0,0,0,0,0,0,0,0,0,0,0,0.109,0.441,0.449999999999998,0,0,0,0,0
"8",1,1,2,1,1,2,0.4,3570.11042261924,492.16701243585,3077.9434101833,5820.76899170175,2910.38449585087,2910.38449585087,9390.87941432099,3402.55150828672,5988.32790603417,1,0,0,0,0,0,0,0,0,0,0,0,0.109,0.441,0.449999999999998,0,0,0,0,0
"9",1,1,2,1,1,2,0.45,3570.11042261924,492.16701243585,3077.9434101833,5820.76899170175,2910.38449585087,2910.38449585087,9390.87941432099,3402.55150828672,5988.32790603417,1,0,0,0,0,0,0,0,0,0,0,0,0.109,0.441,0.449999999999998,0,0,0,0,0
"10",1,1,2,1,1,2,0.5,3570.11042261924,492.16701243585,3077.9434101833,5820.76899170175,2910.38449585087,2910.38449585087,9390.87941432099,3402.55150828672,5988.32790603417,1,0,0,0,0,0,0,0,0,0,0,0,0.109,0.441,0.449999999999998,0,0,0,0,0
"11",1,1,2,1,1,2,0.55,3570.11042261924,492.16701243585,3077.9434101833,5820.76899170175,2910.38449585087,2910.38449585087,9390.87941432099,3402.55150828672,5988.32790603417,1,0,0,0,0,0,0,0,0,0,0,0,0.109,0.441,0.449999999999998,0,0,0,0,0
"12",1,1,2,1,1,2,0.6,3570.11042261924,492.16701243585,3077.9434101833,5820.76899170175,2910.38449585087,2910.38449585087,9390.87941432099,3402.55150828672,5988.32790603417,1,0,0,0,0,0,0,0,0,0,0,0,0.109,0.441,0.449999999999998,0,0,0,0,0
