"","a1","a2","a3","c1","c2","c3","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1_1","alp1_2","alp1_3","alp1_4","alp1_5","alp1_6","alp1_7","alp1_8","alp1_9","alp1_10","alp2_1","alp2_2","alp2_3","alp2_4","alp2_5","alp2_6","alp2_7","alp2_8","alp2_9","alp2_10"
"1",1,1,1,1,2,2,0.05,3214.14945072282,680.525718760906,2533.62373196189,3742.83175830853,1827.14216408794,1915.68959422059,6956.98120903136,2507.66788284885,4449.31332618248,0.953777777777887,0,0,0,0,0,0,0,0,0.0462222222221123,0.231000000000001,0.447,0.321999999999999,0,0,0,0,0,0,0
"2",1,1,1,1,2,2,0.1,3215.01704646669,681.343898956477,2533.67314751021,3831.37918844118,1915.68959422059,1915.68959422059,7046.39623490788,2597.03349317707,4449.3627417308,1,0,0,0,0,0,0,0,0,0,0.220000000000004,0.441999999999999,0.338,0,0,0,0,0,0,0
"3",1,1,1,1,2,2,0.15,3215.01704646669,681.343898956477,2533.67314751021,3831.37918844118,1915.68959422059,1915.68959422059,7046.39623490788,2597.03349317707,4449.3627417308,1,0,0,0,0,0,0,0,0,0,0.220000000000004,0.441999999999999,0.338,0,0,0,0,0,0,0
"4",1,1,1,1,2,2,0.2,3215.01704646669,681.343898956477,2533.67314751021,3831.37918844118,1915.68959422059,1915.68959422059,7046.39623490788,2597.03349317707,4449.3627417308,1,0,0,0,0,0,0,0,0,0,0.220000000000003,0.441999999999998,0.338,0,0,0,0,0,0,0
"5",1,1,1,1,2,2,0.25,3215.01704646669,681.343898956477,2533.67314751021,3831.37918844118,1915.68959422059,1915.68959422059,7046.39623490788,2597.03349317707,4449.3627417308,1,0,0,0,0,0,0,0,0,0,0.22,0.442,0.338,0,0,0,0,0,0,0
"6",1,1,1,1,2,2,0.3,3215.01704646669,681.343898956477,2533.67314751021,3831.37918844118,1915.68959422059,1915.68959422059,7046.39623490788,2597.03349317707,4449.3627417308,1,0,0,0,0,0,0,0,0,0,0.220000000000004,0.441999999999999,0.338,0,0,0,0,0,0,0
"7",1,1,1,1,2,2,0.35,3215.01704646669,681.343898956477,2533.67314751021,3831.37918844118,1915.68959422059,1915.68959422059,7046.39623490788,2597.03349317707,4449.3627417308,1,0,0,0,0,0,0,0,0,0,0.22,0.442,0.338,0,0,0,0,0,0,0
"8",1,1,1,1,2,2,0.4,3215.01704646669,681.343898956477,2533.67314751021,3831.37918844118,1915.68959422059,1915.68959422059,7046.39623490788,2597.03349317707,4449.3627417308,1,0,0,0,0,0,0,0,0,0,0.220000000000004,0.441999999999999,0.338,0,0,0,0,0,0,0
"9",1,1,1,1,2,2,0.45,3215.01704646669,681.343898956477,2533.67314751021,3831.37918844118,1915.68959422059,1915.68959422059,7046.39623490788,2597.03349317707,4449.3627417308,1,0,0,0,0,0,0,0,0,0,0.220000000000003,0.441999999999998,0.338,0,0,0,0,0,0,0
"10",1,1,1,1,2,2,0.5,3215.01704646669,681.343898956477,2533.67314751021,3831.37918844118,1915.68959422059,1915.68959422059,7046.39623490788,2597.03349317707,4449.3627417308,1,0,0,0,0,0,0,0,0,0,0.220000000000001,0.441999999999999,0.338,0,0,0,0,0,0,0
