"","a1","a2","a3","c1","c2","c3","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1_1","alp1_2","alp1_3","alp1_4","alp1_5","alp1_6","alp1_7","alp1_8","alp1_9","alp1_10","alp2_1","alp2_2","alp2_3","alp2_4","alp2_5","alp2_6","alp2_7","alp2_8","alp2_9","alp2_10"
"1",1,1,1,1,1,1,0.05,2069.79699342104,491.420528555215,1578.37646486583,3745.81171989954,1830.12212567895,1915.68959422059,5815.60871332058,2321.54265423416,3494.06605908643,0.955333333333442,0,0,0,0,0,0,0,0,0.0446666666665581,0.241,0.441000000000003,0.317999999999998,0,0,0,0,0,0,0
"2",1,1,1,1,1,1,0.1,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.220000000000001,0.442,0.337999999999999,0,0,0,0,0,0,0
"3",1,1,1,1,1,1,0.15,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.220000000000001,0.442,0.338,0,0,0,0,0,0,0
"4",1,1,1,1,1,1,0.2,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.220000000000001,0.442,0.337999999999999,0,0,0,0,0,0,0
"5",1,1,1,1,1,1,0.25,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.22,0.442,0.338,0,0,0,0,0,0,0
"6",1,1,1,1,1,1,0.3,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.220000000000001,0.442,0.338,0,0,0,0,0,0,0
"7",1,1,1,1,1,1,0.35,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.220000000000001,0.442,0.337999999999999,0,0,0,0,0,0,0
"8",1,1,1,1,1,1,0.4,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.220000000000001,0.442,0.338,0,0,0,0,0,0,0
"9",1,1,1,1,1,1,0.45,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.220000000000001,0.442,0.338,0,0,0,0,0,0,0
"10",1,1,1,1,1,1,0.5,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.220000000000001,0.442,0.338,0,0,0,0,0,0,0
"11",1,1,1,1,1,1,0.55,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.220000000000001,0.442,0.337999999999999,0,0,0,0,0,0,0
"12",1,1,1,1,1,1,0.6,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.220000000000001,0.442,0.337999999999999,0,0,0,0,0,0,0
"13",1,1,1,1,1,1,0.65,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.220000000000001,0.442,0.337999999999999,0,0,0,0,0,0,0
"14",1,1,1,1,1,1,0.7,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.22,0.442,0.338,0,0,0,0,0,0,0
"15",1,1,1,1,1,1,0.75,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.22,0.442,0.338,0,0,0,0,0,0,0
"16",1,1,1,1,1,1,0.8,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.22,0.442,0.338,0,0,0,0,0,0,0
"17",1,1,1,1,1,1,0.85,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.22,0.442,0.338,0,0,0,0,0,0,0
"18",1,1,1,1,1,1,0.9,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.22,0.442,0.338,0,0,0,0,0,0,0
"19",1,1,1,1,1,1,0.95,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.22,0.442,0.338,0,0,0,0,0,0,0
"20",1,1,1,1,1,1,1,2070.61702547996,492.16701243585,1578.45001304413,3831.37918844118,1915.68959422059,1915.68959422059,5901.99621392114,2407.85660665644,3494.13960726472,1,0,0,0,0,0,0,0,0,0,0.22,0.442,0.338,0,0,0,0,0,0,0
