"","n1","n2","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2"
"1",50,1950,3162.05649607891,22.4886456671298,3139.56785041181,3784.90871640313,68.6086172157666,3716.30009918736,6946.96521248204,91.0972628828964,6855.86794959917,0.260000000000003,0.400000000000001,0.339999999999998,0,0,0,0,0,0,0,0.0500000000000001,0,0.05,0,0,0,0,0,0,0
"2",100,1900,3027.28926598768,41.7757779238544,2985.51348806385,3756.58313340392,146.311027451746,3610.27210595217,6783.8723993916,188.0868053756,6595.78559401602,0.260000000000002,0.46,0.279999999999999,0,0,0,0,0,0,0,0.05,0,0.0500000000000001,0,0,0,0,0,0,0
"3",150,1850,3002.143040389,64.7186525507017,2937.42438783829,3741.6409473194,219.436671088209,3522.20427623119,6743.7839877084,284.155323638911,6459.62866406948,0.260540540540541,0.457837837837836,0.281621621621623,0,0,0,0,0,0,0,0.0499999999999999,0,0.0499999999999999,0,0,0,0,0,0,0
"4",200,1800,2936.02340605861,87.2610585492903,2848.76234750933,3761.71393565652,298.243304361514,3463.470631295,6697.73734171513,385.504362910805,6312.23297880434,0.299999999999997,0.424999999999999,0.275000000000003,0,0,0,0,0,0,0,0.05,0,0.0499999999999999,0,0,0,0,0,0,0
"5",250,1750,2875.45034935202,109.708321476111,2765.74202787591,3844.68368757477,385.456719319848,3459.22696825492,6720.13403692679,495.165040795959,6224.96899613082,0.324000000000038,0.405999999999962,0.27,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0
"6",300,1700,2826.72831184923,132.924939342924,2693.80337250629,3826.54454784224,466.152635823013,3360.39191201922,6653.27285969146,599.077575165937,6054.19528452552,0.319411764705885,0.416666666666665,0.263921568627451,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0
"7",350,1650,2762.88378757094,154.604109437944,2608.279678133,3704.69954010325,530.666796688306,3174.03274341495,6467.58332767419,685.27090612625,5782.31242154795,0.326753246753238,0.411428571428581,0.261818181818182,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0
"8",400,1600,2700.32225938187,177.815323686532,2522.50693569531,3772.6460654276,622.21093772188,3150.43512770572,6472.96832480946,800.026261408412,5672.94206340103,0.360000000000004,0.379999999999995,0.260000000000001,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0
"9",450,1550,2642.34441511926,200.841021289256,2441.50339382994,3656.88502613241,687.701269974613,2969.1837561578,6299.22944125167,888.542291263869,5410.68714998774,0.381290322580644,0.366487455197136,0.252222222222222,0,0,0,0,0,0,0,0.0499999999999999,0,0.05,0,0,0,0,0,0,0
"10",500,1500,2591.70636885166,226.23862658514,2365.46774226645,3759.68553921123,794.633852136286,2965.05168707495,6351.3919080629,1020.87247872143,5330.5194293414,0.400000000000057,0.353999999999946,0.245999999999999,0,0,0,0,0,0,0,0.0500000000000001,0,0.0500000000000001,0,0,0,0,0,0,0
"11",550,1450,2527.29209258065,248.429792268881,2278.8623003117,3760.30713477051,881.481907560926,2878.82522720958,6287.59922735116,1129.91169982981,5157.68752752129,0.428275862068969,0.328965517241378,0.242758620689654,0,0,0,0,0,0,0,0.0499999999999999,0,0.0499999999999999,0,0,0,0,0,0,0
"12",600,1400,2477.94602891601,274.384413430442,2203.56161548552,3697.27770874339,955.652289124369,2741.62541961902,6175.22373765941,1230.03670255481,4945.18703510455,0.442142857142874,0.321190476190458,0.236666666666668,0,0,0,0,0,0,0,0.0499999999999999,0,0.0500000000000001,0,0,0,0,0,0,0
"13",650,1350,2426.18432144228,300.137998137394,2126.04632330484,3688.23198580077,1045.39059470149,2642.84139109928,6114.41630724304,1345.52859283889,4768.88771440412,0.465185185185183,0.30635327635328,0.228461538461537,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0
"14",700,1300,2365.46811800346,324.139237797729,2041.32888020571,3736.17399248957,1155.39493285278,2580.77905963679,6101.64211049303,1479.53417065051,4622.1079398425,0.488571428571423,0.292857142857143,0.218571428571428,0,0,0,0,0,0,0,0.0500000000000056,0,0.05,0,0,0,0,0,0,0
"15",750,1250,2312.24480671136,350.902829411495,1961.34197729985,3722.12821784247,1251.25181194598,2470.87640589649,6034.37302455384,1602.15464135748,4432.21838319634,0.518399999999998,0.2756,0.206,0,0,0,0,0,0,0,0.0500000000000001,0,0.05,0,0,0,0,0,0,0
"16",800,1200,2255.00572587292,375.287004738839,1879.71872113408,3695.85420918977,1333.02786341048,2362.82634577929,5950.85993506269,1708.31486814932,4242.54506691337,0.537499999999999,0.25875,0.203750000000001,0,0,0,0,0,0,0,0.0499999999999999,0,0.05,0,0,0,0,0,0,0
"17",850,1150,2196.62278242468,398.995427856535,1797.62735456815,3599.71878039002,1390.6874997776,2209.03128061241,5796.3415628147,1789.68292763414,4006.65863518056,0.567621483375961,0.234117647058823,0.198260869565217,0,0,0,0,0,0,0,0.0499999999999999,0,0.0499999999999999,0,0,0,0,0,0,0
"18",900,1100,2135.47328403906,422.638226945226,1712.83505709385,3453.21691226437,1424.47712597583,2028.73978628855,5588.69019630344,1847.11535292105,3741.5748433824,0.595454545454544,0.212727272727273,0.191818181818182,0,0,0,0,0,0,0,0.0499999999999999,0,0.05,0,0,0,0,0,0,0
"19",950,1050,2077.35031301542,447.961315190438,1629.38899782499,3539.08646340591,1553.03679697847,1986.04966642744,5616.43677642132,2000.9981121689,3615.43866425243,0.622706766917294,0.191578947368421,0.185714285714285,0,0,0,0,0,0,0,0.05,0,0.0500000000000001,0,0,0,0,0,0,0
"20",1000,1000,2021.3851930993,472.761605695813,1548.62358740349,3629.18398227731,1687.40550058801,1941.77848168931,5650.56917537661,2160.16710628382,3490.40206909279,0.644999999999999,0.174,0.181,0,0,0,0,0,0,0,0.0500000000000001,0,0.0500000000000002,0,0,0,0,0,0,0
