"","n1","n2","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2"
"11",550,1450,2559.89983728035,272.992810326628,2286.9070269537,3970.7934168408,1091.96818963122,2878.82522720958,6530.69325412116,1364.96099995785,5165.73225416328,0.231034482758621,0.437241379310345,0.331724137931034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",600,1400,2512.62996313916,299.919105624082,2212.71085751506,3916.60774231303,1174.98232269391,2741.62541961912,6429.23770545219,1474.90142831799,4954.33627713418,0.22857142857143,0.434285714285714,0.337142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",650,1350,2463.33479953226,326.086551548447,2137.24824798381,3915.32057940633,1272.47918830706,2642.84139109928,6378.6553789386,1598.56573985551,4780.08963908309,0.223703703703704,0.436296296296296,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",700,1300,2404.08337742045,350.127208536491,2053.95616888394,3970.42932251814,1389.65026288135,2580.77905963679,6374.51269993859,1739.77747141784,4634.73522852074,0.223846153846154,0.440769230769231,0.335384615384616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",750,1250,2352.17155552823,375.685434706742,1976.48612082147,3953.40224943438,1482.52584353789,2470.87640589649,6305.57380496261,1858.21127824464,4447.36252671796,0.2208,0.444799999999999,0.334399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",800,1200,2295.59608838315,400.02270301152,1895.57338537163,3938.04390963215,1575.21756385286,2362.82634577929,6233.6399980153,1975.24026686438,4258.39973115092,0.224166666666669,0.4425,0.333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",850,1150,2237.74618473819,422.40154016437,1815.34464457382,3841.79353149985,1632.76225088744,2209.03128061241,6079.53971623803,2055.16379105181,4024.37592518623,0.221739130434784,0.453913043478261,0.324347826086954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",900,1100,2176.85197458201,444.892354373122,1731.95962020889,3688.61779325191,1659.87800696336,2028.73978628855,5865.46976783391,2104.77036133648,3760.69940649744,0.220909090909091,0.458181818181818,0.32090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",950,1050,2118.44944581629,468.594655995257,1649.85478982102,3782.95174557608,1796.90207914864,1986.04966642744,5901.40119139236,2265.49673514389,3635.90445624846,0.220952380952381,0.462857142857143,0.316190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1000,1000,2062.15534365539,492.16701243585,1569.98833121953,3883.55696337861,1941.7784816893,1941.77848168931,5945.712307034,2433.94549412515,3511.76681290884,0.225000000000001,0.458,0.316999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",1050,950,2008.38694479596,515.671248689527,1492.71569610641,3870.0238433331,2031.76251774988,1838.26132558322,5878.41078812905,2547.4337664394,3330.97702168963,0.222105263157894,0.458947368421052,0.318947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",1100,900,1956.3600570318,541.062103088247,1415.29795394355,3890.25414833155,2139.63978158235,1750.6143667492,5846.61420536335,2680.7018846706,3165.91232069275,0.221111111111111,0.457777777777778,0.321111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",1150,850,1906.31721567635,566.783985344693,1339.53323033166,3877.41435297852,2229.51325296265,1647.90110001587,5783.73156865487,2796.29723830734,2987.43433034753,0.22,0.455294117647059,0.324705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",1200,800,1857.11919661866,593.160800744081,1263.95839587458,3916.60774231303,2349.96464538782,1566.64309692521,5773.72693893168,2943.1254461319,2830.60149279979,0.22,0.445,0.334999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",1250,750,1805.7496485822,620.065754611045,1185.68389397115,3927.85875902374,2454.91172438984,1472.9470346339,5733.60840760594,3074.97747900088,2658.63092860505,0.217333333333334,0.449333333333333,0.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",1300,700,1748.75577874658,642.824205487501,1105.93157325908,3580.05031660317,2327.03270579206,1253.01761081111,5328.80609534975,2969.85691127956,2358.94918407019,0.21857142857143,0.45,0.331428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1350,650,1693.189796685,664.816887866007,1028.37290881899,3831.20484665522,2586.06327149228,1245.14157516295,5524.39464334022,3250.88015935828,2273.51448398194,0.223076923076923,0.436923076923077,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",1400,600,1637.92007918364,689.895483558765,948.024595624862,3970.42932251814,2779.3005257627,1191.12879675544,5608.34940170178,3469.19600932146,2139.1533923803,0.229999999999999,0.43,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",1450,550,1583.2309114791,716.674415269867,866.556496209218,3725.63685777537,2701.08672188714,1024.55013588823,5308.86776925447,3417.76113715701,1891.10663209744,0.232727272727273,0.432727272727274,0.334545454545453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",1500,500,1532.48222502511,741.679998174775,790.802226850323,3953.40224943438,2965.05168707579,988.350562358596,5485.88447445949,3706.73168525056,1779.15278920892,0.226,0.438,0.335999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",1550,450,1479.41662979022,769.394540680572,710.022089109632,3899.35581784442,3022.00075882943,877.355059014995,5378.77244763464,3791.39529951,1587.37714812463,0.231111111111111,0.437777777777778,0.33111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",1600,400,1426.29851103138,794.683521534316,631.614989497058,3822.48552372989,3057.98841898391,764.497104745977,5248.78403476126,3852.67194051823,1396.11209424304,0.2325,0.4375,0.329999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",1650,350,1372.50315721935,818.709122684086,553.794034535261,3927.66105366121,3240.3203692705,687.340684390711,5300.16421088056,4059.02949195458,1241.13471892597,0.225714285714286,0.451428571428571,0.322857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",1700,300,1319.4556194501,843.644205207936,475.811414242159,3841.79353149985,3265.52450177487,576.269029724977,5161.24915094995,4109.16870698281,1052.08044396714,0.226666666666667,0.45,0.323333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",1750,250,1263.68766144843,868.329980789917,395.357680658511,3732.19591717015,3265.67142752388,466.524489646269,4995.88357861858,4134.0014083138,861.88217030478,0.224,0.455999999999999,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",1800,200,1213.71052788931,897.048861623975,316.661666265335,3499.4715851416,3149.52442662744,349.94715851416,4713.18211303092,4046.57328825142,666.608824779496,0.22,0.46,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",1850,150,1158.43233763309,920.300682763569,238.131654869512,3480.57414840724,3219.5310872767,261.043061130543,4639.00648604034,4139.83177004027,499.174716000055,0.193333333333334,0.493333333333333,0.313333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",1900,100,1100.10825797458,942.969164259965,157.139093714608,3154.03689962454,2996.33505464332,157.701844981227,4254.14515759912,3939.30421890328,314.840938695835,0.21,0.5,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1950,50,1048.03621206406,967.53378171823,80.5024303458315,3290.20777926895,3207.95258478723,82.2551944817238,4338.24399133301,4175.48636650546,162.757624827555,0.24,0.42,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
