"","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","1","2","3","4","5","6","7","1","2","3","4","5","6","7","1","2","3","4","5","6","7"
"11",0.235,16064.9337966391,3731.94323655159,12332.9905600873,10356.7549972934,4565.46608920761,5791.28890808576,26421.6887939324,8297.4093257592,18124.2794681731,0.503333333333334,0.285000000000001,0,0,0.211666666666665,0,0,0.385833333333334,0.285000000000001,0,0,0.329166666666666,0,0,0.1175,0,0,0,0.1175,0,0
"12",0.32,16131.780617577,3754.71733161325,12377.0632859635,10409.8418122842,4618.5529041984,5791.28890808576,26541.6224298611,8373.27023581164,18168.3521940493,0.525833333333334,0.271666666666668,0,0.0275,0.174999999999999,0,0,0.365833333333334,0.271666666666667,0,0.0275,0.334999999999999,0,0,0.16,0,0,0,0.16,0,0
"13",0.405,16194.9289516514,3777.83351006275,12417.0954415885,10472.580775455,4681.29186736932,5791.28890808566,26667.5097271064,8459.12537743207,18208.3843496742,0.548333333333332,0.260000000000001,0,0.0591666666666676,0.132499999999999,0,0,0.345833333333332,0.26,0,0.0591666666666676,0.334999999999999,0,0,0.2025,0,0,0,0.2025,0,0
"14",0.49,16254.4281944781,3801.00773302624,12453.4204614517,10525.6675904458,4734.37868236006,5791.28890808574,26780.0957849239,8535.3864153863,18244.7093695375,0.574999999999983,0.242500000000021,0,0.0924999999999969,0.0899999999999987,0,0,0.329999999999984,0.242500000000022,0,0.092499999999997,0.334999999999999,0,0,0.245,0,0,0,0.245,0,0
"15",0.575,16310.2947058069,3822.58686148836,12487.7078443183,10583.5804795252,4792.29157144029,5791.28890808493,26893.8751853321,8614.87843292865,18278.9967524032,0.599999999999877,0.227500000000142,0,0.12499999999998,0.0474999999999985,0,0,0.312499999999878,0.227500000000143,0,0.124999999999981,0.334999999999999,0,0,0.2875,0,0,0,0.2875,0,0
"16",0.66,16362.4586729373,3845.55848668839,12516.9001862487,10670.449813148,4879.16090506226,5791.28890808576,27032.9084860853,8724.71939175065,18308.1890943344,0.623333333333334,0.219166666666667,0,0.1525,0.00499999999999873,0,0,0.293333333333334,0.219166666666666,0,0.1525,0.334999999999999,0,0,0.33,0,0,0,0.33,0,0
"17",0.745,16410.2656447241,3864.37956074742,12545.8860839765,10733.1887763181,4941.89986823259,5791.2889080855,27143.4544210422,8806.27942898001,18337.174992062,0.646666666666515,0.206666666666819,0,0.146666666666666,0,0,0,0.274166666666516,0.206666666666819,0,0.184166666666667,0.334999999999999,0,0,0.3725,0,0,0.0375000000000013,0.334999999999999,0,0
"18",0.83,16454.3352461698,3882.33213387071,12572.0031122988,10791.1016653998,4999.81275731401,5791.28890808575,27245.4369115695,8882.14489118472,18363.2920203845,0.671666666666668,0.191666666666671,0,0.136666666666661,0,0,0,0.256666666666668,0.191666666666671,0,0.216666666666663,0.334999999999999,0,0,0.415,0,0,0.0800000000000013,0.334999999999999,0,0
"19",0.915,16494.7905234436,3895.62701516379,12599.1635082797,10839.3624063003,5048.07349821464,5791.28890808568,27334.1529297439,8943.70051337842,18390.4524163653,0.690833333333312,0.180833333333357,0,0.128333333333332,0,0,0,0.233333333333311,0.180833333333357,0,0.250833333333334,0.334999999999999,0,0,0.4575,0,0,0.122500000000001,0.334999999999999,0,0
"20",1,16531.7216063828,3910.79585561204,12620.9257507705,10892.4492212908,5101.16031320552,5791.2889080853,27424.1708276736,9011.95616881756,18412.2146588558,0.714999999999988,0.165833333333347,0,0.119166666666662,0,0,0,0.21499999999999,0.165833333333347,0,0.284166666666664,0.334999999999999,0,0,0.5,0,0,0.165000000000001,0.334999999999999,0,0
