"","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","1","2","3","4","5","6","1","2","3","4","5","6","1","2","3","4","5","6"
"11",0.235,16057.7676593445,3712.42734310298,12345.3403162413,10347.1028491132,4555.81394102747,5791.28890808576,26404.8705084577,8268.24128413044,18136.6292243271,0.531666666666667,0.254999999999999,0,0.213333333333334,0,0,0.414166666666667,0.254999999999999,0,0.235,0.0958333333333332,0,0.1175,0,0,0.0216666666666667,0.0958333333333332,0
"12",0.32,16124.9039915231,3741.47526373462,12383.4287277884,10409.8418122841,4618.55290419839,5791.28890808567,26534.7458038072,8360.02816793301,18174.7176358741,0.558333333333334,0.239166666666665,0,0.202500000000001,0,0,0.398333333333334,0.239166666666665,0,0.266666666666668,0.0958333333333332,0,0.16,0,0,0.0641666666666668,0.0958333333333332,0
"13",0.405,16187.827104267,3769.05240441739,12418.7746998496,10482.2329236352,4690.94401554947,5791.28890808576,26670.0600279023,8459.99641996686,18210.0636079353,0.583333333333334,0.226666666666666,0,0.190000000000001,0,0,0.380833333333333,0.226666666666666,0,0.296666666666668,0.0958333333333332,0,0.2025,0,0,0.106666666666667,0.0958333333333332,0
"14",0.49,16246.5481487645,3790.07276748627,12456.4753812782,10535.3197386256,4744.03083054021,5791.28890808539,26781.8678873901,8534.10359802648,18247.7642893636,0.604166666666666,0.214999999999999,0,0.180833333333335,0,0,0.359166666666666,0.214999999999999,0,0.330000000000002,0.0958333333333332,0,0.245,0,0,0.149166666666667,0.0958333333333332,0
"15",0.575,16301.3131498912,3814.14508939628,12487.1680604949,10607.7108499771,4816.42194189132,5791.28890808576,26909.0239998683,8630.56703128761,18278.4569685807,0.628333333333333,0.203333333333333,0,0.168333333333336,0,0,0.340833333333331,0.203333333333333,0,0.360000000000003,0.0958333333333332,0,0.2875,0,0,0.191666666666667,0.0958333333333332,0
"16",0.66,16352.0739958361,3842.46482130169,12509.6091745344,10699.4062576877,4908.11734960262,5791.28890808508,27051.4802535238,8750.5821709043,18300.8980826195,0.658333333333332,0.189166666666665,0,0.152500000000003,0,0,0.328333333333332,0.189166666666666,0,0.38666666666667,0.0958333333333332,0,0.33,0,0,0.234166666666667,0.0958333333333332,0
"17",0.745,16398.0125374954,3861.66957095823,12536.3429665371,10747.6669985881,4956.37809050335,5791.28890808475,27145.6795360835,8818.04766146157,18327.6318746218,0.682500000000014,0.173333333333317,0.0224999999999977,0.121666666666669,0,0,0.310000000000016,0.173333333333317,0.0224999999999976,0.398333333333336,0.0958333333333332,0,0.3725,0,0,0.276666666666667,0.0958333333333332,0
"18",0.83,16441.1015713856,3878.89012988155,12562.2114415041,10795.9277394897,5004.6388314041,5791.28890808561,27237.0293108753,8883.52896128565,18353.5003495897,0.704999999999999,0.159166666666666,0.0566666666666668,0.0791666666666692,0,0,0.289999999999999,0.159166666666666,0.0566666666666668,0.398333333333336,0.0958333333333332,0,0.415,0,0,0.319166666666667,0.0958333333333332,0
"19",0.915,16481.4203309495,3895.26951212919,12586.1508188204,10834.5363322104,5043.24742412467,5791.28890808576,27315.9566631599,8938.51693625386,18377.4397269062,0.728333333333333,0.1425,0.0925000000000002,0.036666666666669,0,0,0.270833333333331,0.1425,0.0925000000000002,0.398333333333336,0.0958333333333332,0,0.4575,0,0,0.361666666666667,0.0958333333333332,0
"20",1,16518.8335790003,3910.78304566015,12608.0505333402,10882.7970731108,5091.5081650254,5791.28890808536,27401.630652111,9002.29121068555,18399.3394414256,0.750833333333334,0.128333333333333,0.120833333333334,0,0,0,0.250833333333333,0.128333333333333,0.126666666666665,0.398333333333336,0.0958333333333332,0,0.5,0,0.00583333333333085,0.398333333333336,0.0958333333333332,0
