"","c1","c2","c3","a1","a2","a3","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2"
"1",1,1,2,1,2,1,0.05,3089.09146981914,560.990975988348,2528.10049383079,4752.65788172414,1842.27338587355,2910.38449585059,7841.74935154329,2403.2643618619,5438.48498968139
"2",1,1,2,1,2,1,0.1,3100.90914048815,567.852158600371,2533.05698188778,4790.49288016929,1880.10838431936,2910.38449584993,7891.40202065744,2447.96054291973,5443.44147773771
"3",1,1,2,1,2,1,0.15,3112.39177794933,573.588481845403,2538.80329610392,4816.68634062983,1906.30184478193,2910.38449584791,7929.07811857917,2479.89032662733,5449.18779195182
"4",1,1,2,1,2,1,0.2,3123.54476487323,576.798694960709,2546.7460699125,4834.1486476083,1923.76415175743,2910.38449585087,7957.69341248154,2500.56284671814,5457.13056576338
"5",1,1,2,1,2,1,0.25,3134.37255115654,581.208056270899,2553.16449488563,4860.34210807096,1949.95761222009,2910.38449585087,7994.71465922751,2531.16566849099,5463.5489907365
"6",1,1,2,1,2,1,0.3,3144.90197331816,584.937149786808,2559.96482353134,4871.9836460517,1961.59915020393,2910.38449584777,8016.88561936986,2546.53629999074,5470.34931937911
"7",1,1,2,1,2,1,0.35,3155.03678762275,589.288123913516,2565.74866370924,4892.35633751975,1981.97184167513,2910.38449584462,8047.3931251425,2571.25996558865,5476.13315955386
"8",1,1,2,1,2,1,0.4,3164.82673550836,591.68687694256,2573.13985856582,4903.99787550867,1993.61337965785,2910.38449585082,8068.82461101703,2585.30025660041,5483.52435441664
"9",1,1,2,1,2,1,0.45,3174.33909944218,595.107434112665,2579.23166532952,4921.46018248131,2011.07568663241,2910.3844958489,8095.79928192349,2606.18312074508,5489.61616117842
"10",1,1,2,1,2,1,0.5,3183.60521709176,599.204715407038,2584.40050168473,4944.74325845062,2034.35876259978,2910.38449585084,8128.34847554238,2633.56347800682,5494.78499753557
"11",1,1,2,1,2,1,0.55,3192.63752577847,602.651769966743,2589.98575581174,4962.20556542512,2051.8210695748,2910.38449585031,8154.84309120359,2654.47283954155,5500.37025166206
"12",1,1,2,1,2,1,0.6,3201.39524408086,606.587316839822,2594.80792724106,4988.3990258884,2078.01453003752,2910.38449585087,8189.79426996926,2684.60184687735,5505.19242309193
"13",1,1,2,1,2,1,0.65,3209.87747788325,609.792095177199,2600.08538270606,5000.04056387082,2089.65606802056,2910.38449585026,8209.91804175407,2699.44816319776,5510.46987855632
"14",1,1,2,1,2,1,0.7,3218.09458177586,613.808726691291,2604.28585508459,5026.2340243343,2115.84952848355,2910.38449585075,8244.32860611016,2729.65825517484,5514.67035093534
"15",1,1,2,1,2,1,0.75,3226.07338099409,617.196711249077,2608.87666974503,5040.78594681126,2130.40145096278,2910.38449584848,8266.85932780535,2747.59816221186,5519.26116559351
"16",1,1,2,1,2,1,0.8,3233.7734261337,620.372654808812,2613.40077132491,5058.24825378882,2147.86375793795,2910.38449585087,8292.02167992252,2768.23641274676,5523.78526717579
"17",1,1,2,1,2,1,0.85,3241.2130146004,624.64752257219,2616.56549202824,5090.26248324314,2179.8779873923,2910.38449585084,8331.47549784354,2804.5255099645,5526.94998787908
"18",1,1,2,1,2,1,0.9,3248.37671124549,627.778025547785,2620.59868569775,5113.54555920999,2203.16106335911,2910.38449585087,8361.92227045548,2830.9390889069,5530.98318154862
"19",1,1,2,1,2,1,0.95,3255.3227751304,630.276578256921,2625.04619687352,5131.00786618509,2220.62337033422,2910.38449585087,8386.33064131549,2850.89994859114,5535.43069272439
"20",1,1,2,1,2,1,1,3262.0260521939,634.304387419827,2627.72166477412,5163.02209563945,2252.63759978858,2910.38449585087,8425.04814783335,2886.9419872084,5538.106160625
