"","a1","a2","a3","c1","c2","c3","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1_1","alp1_2","alp1_3","alp1_4","alp1_5","alp1_6","alp1_7","alp1_8","alp1_9","alp1_10","alp2_1","alp2_2","alp2_3","alp2_4","alp2_5","alp2_6","alp2_7","alp2_8","alp2_9","alp2_10"
"1",1,1,1,1,2,2,0.05,3150.90815690553,645.771955214146,2505.13620169138,1700.00937236469,177.851178909149,1522.15819345554,4850.91752927023,823.623134123295,4027.29439514692,0.628,0.204,0.168,0,0,0,0,0,0,0,0.603,0.203999999999999,0.193,0,0,0,0,0,0,0
"2",1,1,1,1,2,2,0.1,3155.45254490233,648.496621500307,2506.95592340202,1688.88302133639,180.579614088991,1508.3034072474,4844.33556623872,829.076235589298,4015.25933064942,0.646,0.192,0.162,0,0,0,0,0,0,0,0.596,0.192,0.212,0,0,0,0,0,0,0
"3",1,1,1,1,2,2,0.15,3159.75680553836,650.933170429527,2508.82363510884,1677.06711276538,182.477708726282,1494.5894040391,4836.82391830374,833.410879155809,4003.41303914793,0.662,0.184,0.154000000000001,0,0,0,0,0,0,0,0.587,0.184,0.229000000000001,0,0,0,0,0,0,0
"4",1,1,1,1,2,2,0.2,3163.81622691637,653.567537771705,2510.24868914466,1666.80742471798,185.734057103899,1481.07336761408,4830.62365163435,839.301594875604,3991.32205675873,0.681,0.17,0.149000000000001,0,0,0,0,0,0,0,0.581,0.17,0.249000000000001,0,0,0,0,0,0,0
"5",1,1,1,1,2,2,0.25,3167.6376249009,655.778432138767,2511.85919276213,1655.05241549376,187.890485349345,1467.16193014441,4822.69004039466,843.668917488112,3979.02112290654,0.697,0.161,0.142,0,0,0,0,0,0,0,0.572,0.161,0.267000000000001,0,0,0,0,0,0,0
"6",1,1,1,1,2,2,0.3,3171.29471720141,658.196566384775,2513.09815081663,1645.22043459149,190.308140341618,1454.91229424987,4816.5151517929,848.504706726393,3968.01044506651,0.715,0.151,0.134000000000001,0,0,0,0,0,0,0,0.564999999999999,0.151,0.284000000000001,0,0,0,0,0,0,0
"7",1,1,1,1,2,2,0.35,3174.71302456718,660.239054162892,2514.47397040429,1633.51695979696,192.737523414231,1440.77943638273,4808.22998436413,852.976577577123,3955.25340678701,0.731000000000001,0.141,0.128,0,0,0,0,0,0,0,0.555999999999999,0.141,0.303000000000001,0,0,0,0,0,0,0
"8",1,1,1,1,2,2,0.4,3177.90545954349,662.089722662807,2515.81573688069,1621.49961876666,194.717802833473,1426.78181593318,4799.40507831015,856.80752549628,3942.59755281387,0.746000000000001,0.133,0.121,0,0,0,0,0,0,0,0.546,0.133,0.321,0,0,0,0,0,0,0
"9",1,1,1,1,2,2,0.45,3180.86745731088,664.086608434781,2516.78084887611,1611.66732765324,197.215146093063,1414.45218156018,4792.53478496412,861.301754527844,3931.23303043629,0.763000000000007,0.123,0.113999999999996,0,0,0,0,0,0,0,0.538000000000002,0.123999999999995,0.338,0,0,0,0,0,0,0
"10",1,1,1,1,2,2,0.5,3183.67049667637,665.875778399203,2517.79471827718,1610.84958448329,200.980093023708,1409.86949145958,4794.52008115966,866.855871422911,3927.66420973676,0.779000000000001,0.107999999999985,0.113000000000015,0,0,0,0,0,0,0,0.528999999999999,0.133,0.338,0,0,0,0,0,0,0
"11",1,1,1,1,2,2,0.55,3186.37234270798,667.818051998768,2518.55429070923,1610.66387292207,204.326664985321,1406.33720793675,4797.03621563005,872.144716984089,3924.89149864598,0.797000000000005,0.0950000000000051,0.107999999999995,0,0,0,0,0,0,0,0.521999999999998,0.14,0.338,0,0,0,0,0,0,0
"12",1,1,1,1,2,2,0.6,3188.97710592443,669.393863330654,2519.5832425938,1608.55052395114,207.197321632193,1401.35320231895,4797.52762987557,876.591184962847,3920.93644491274,0.812000000000005,0.0840000000000002,0.104,0,0,0,0,0,0,0,0.511999999999999,0.15,0.338,0,0,0,0,0,0,0
"13",1,1,1,1,2,2,0.65,3191.4366643952,671.060962260822,2520.37570213439,1607.30800186209,209.908002104778,1397.39999975731,4798.74466625729,880.9689643656,3917.7757018917,0.829000000000003,0.0740000000000002,0.0969999999999993,0,0,0,0,0,0,0,0.504,0.158,0.338,0,0,0,0,0,0,0
"14",1,1,1,1,2,2,0.7,3193.78556674836,672.655532166725,2521.13003458166,1607.22566721106,213.736599373319,1393.48906783774,4801.01123395942,886.392131540045,3914.6191024194,0.846000000000001,0.153999999999999,0,0,0,0,0,0,0,0,0.496,0.166,0.338,0,0,0,0,0,0,0
"15",1,1,1,1,2,2,0.75,3196.05530317307,673.472230567455,2522.58307260564,1601.95223495141,216.223290297713,1385.72894465369,4798.00753812448,889.695520865168,3908.31201725933,0.855000000000008,0.0510000000000003,0.0939999999999994,0,0,0,0,0,0,0,0.479999999999998,0.182,0.338,0,0,0,0,0,0,0
"16",1,1,1,1,2,2,0.8,3198.224477276,674.861856796843,2523.36262047917,1601.56867907313,220.16282036622,1381.40585870691,4799.79315634912,895.024677163063,3904.76847918608,0.871000000000008,0.0370000000000003,0.0919999999999999,0,0,0,0,0,0,0,0.470999999999998,0.191,0.338,0,0,0,0,0,0,0
"17",1,1,1,1,2,2,0.85,3200.29487393409,675.779023908404,2524.5158500257,1597.48059000473,222.73345601148,1374.74713399325,4797.77546393882,898.512479919884,3899.26298401895,0.882000000000006,0.0280000000000003,0.09,0,0,0,0,0,0,0,0.456999999999998,0.205,0.338,0,0,0,0,0,0,0
"18",1,1,1,1,2,2,0.9,3202.26302607276,677.114791084818,2525.14823498795,1598.07618469391,227.10441339641,1370.9717712975,4800.33921076667,904.219204481228,3896.12000628545,0.899000000000007,0.0130000000000003,0.088,0,0,0,0,0,0,0,0.448999999999998,0.213,0.338,0,0,0,0,0,0,0
"19",1,1,1,1,2,2,0.95,3204.16640128907,678.334045292401,2525.83235599667,1597.1043642155,230.349436109313,1366.75492810619,4801.27076550457,908.683481401714,3892.58728410286,0.915000000000006,0.0020000000000001,0.082999999999999,0,0,0,0,0,0,0,0.439999999999999,0.221999999999999,0.338,0,0,0,0,0,0,0
"20",1,1,1,1,2,2,1,3205.95523226828,678.834180743164,2527.12105152512,1589.36284212143,230.952835680903,1358.41000644053,4795.31807438972,909.787016424067,3885.53105796565,0.922000000000008,0,0.077999999999997,0,0,0,0,0,0,0,0.422000000000009,0.239999999999989,0.338,0,0,0,0,0,0,0
