"","a1","a2","a3","c1","c2","c3","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1_1","alp1_2","alp1_3","alp1_4","alp1_5","alp1_6","alp1_7","alp1_8","alp1_9","alp1_10","alp2_1","alp2_2","alp2_3","alp2_4","alp2_5","alp2_6","alp2_7","alp2_8","alp2_9","alp2_10"
"1",1,1,1,1,2,1,0.05,2535.81370894201,654.854868276987,1880.95884066502,1368.82266846811,189.852561581239,1178.97010688687,3904.63637741011,844.707429858226,3059.92894755189,0.693000000000036,0.152000000000009,0.154999999999956,0,0,0,0,0,0,0,0.668000000000036,0.152000000000009,0.179999999999956,0,0,0,0,0,0,0
"2",1,1,1,1,2,1,0.1,2539.87532537728,656.943344633153,1882.93198074413,1358.72831750261,192.059618576791,1166.66869892581,3898.60364287988,849.002963209944,3049.60067966994,0.707999999999991,0.143000000000018,0.148999999999991,0,0,0,0,0,0,0,0.657999999999992,0.143000000000018,0.198999999999991,0,0,0,0,0,0,0
"3",1,1,1,1,2,1,0.15,2543.73509088218,658.550067343613,1885.18502353858,1346.60685379541,193.794113802332,1152.81273999308,3890.34194467759,852.344181145945,3037.99776353166,0.72,0.136,0.144,0,0,0,0,0,0,0,0.645000000000001,0.136,0.219,0,0,0,0,0,0,0
"4",1,1,1,1,2,1,0.2,2547.41388998347,660.583639653347,1886.83025033013,1337.37467814162,195.338208065635,1142.03647007599,3884.7885681251,855.921847718982,3028.86672040612,0.735,0.13,0.135,0,0,0,0,0,0,0,0.635000000000001,0.13,0.235,0,0,0,0,0,0,0
"5",1,1,1,1,2,1,0.25,2550.88651691969,662.319467607037,1888.56704931266,1326.98183697387,197.597929478568,1129.3839074953,3877.86835389356,859.917397085605,3017.95095680797,0.749,0.121,0.13,0,0,0,0,0,0,0,0.624000000000001,0.121,0.255,0,0,0,0,0,0,0
"6",1,1,1,1,2,1,0.3,2554.15380050934,664.205839173593,1889.94796133575,1318.12953777116,200.395435710268,1117.73410206089,3872.2833382805,864.601274883861,3007.68206339664,0.765000000000001,0.11,0.125,0,0,0,0,0,0,0,0.615000000000001,0.11,0.275,0,0,0,0,0,0,0
"7",1,1,1,1,2,1,0.35,2557.23295253683,666.292701559654,1890.94025097718,1311.35417701201,202.741973245566,1108.61220376645,3868.58712954885,869.03467480522,2999.55245474363,0.783000000000057,0.100999999999963,0.115999999999982,0,0,0,0,0,0,0,0.608000000000057,0.100999999999954,0.290999999999992,0,0,0,0,0,0,0
"8",1,1,1,1,2,1,0.4,2560.10781527217,668.123791049891,1891.98402422228,1303.29247570529,206.366228879939,1096.92624682535,3863.40029097746,874.49001992983,2988.91027104763,0.800000000000011,0.0870000000000198,0.11299999999997,0,0,0,0,0,0,0,0.600000000000011,0.0870000000000099,0.31299999999998,0,0,0,0,0,0,0
"9",1,1,1,1,2,1,0.45,2562.76586648045,669.495010455717,1893.27085602473,1293.51320426681,207.461009640597,1086.05219462621,3856.27907074726,876.956020096313,2979.32305065094,0.813000000000001,0.0829999999999999,0.104,0,0,0,0,0,0,0,0.588000000000001,0.0829999999999999,0.329,0,0,0,0,0,0,0
"10",1,1,1,1,2,1,0.5,2565.22284336832,670.964918127137,1894.25792524118,1288.34198803639,209.638114136092,1078.7038739003,3853.56483140471,880.603032263229,2972.96179914147,0.828,0.0750000000000107,0.096999999999989,0,0,0,0,0,0,0,0.578,0.084,0.338,0,0,0,0,0,0,0
