"","a1","a2","a3","c1","c2","c3","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1_1","alp1_2","alp1_3","alp1_4","alp1_5","alp1_6","alp1_7","alp1_8","alp1_9","alp1_10","alp2_1","alp2_2","alp2_3","alp2_4","alp2_5","alp2_6","alp2_7","alp2_8","alp2_9","alp2_10"
"1",1,1,2,1,1,1,0.05,2484.98256750001,381.588483169591,2103.39408433039,1593.85854069089,90.6513501059269,1503.20719058496,4078.8411081909,472.239833275518,3606.60127491535,0.203999999999998,0.415999999999999,0.006,0,0.374000000000003,0,0,0,0,0,0.178999999999998,0.415999999999999,0.006,0,0.399000000000003,0,0,0,0,0
"2",1,1,2,1,1,1,0.1,2494.46510042195,386.854742703283,2107.61035771865,1579.83431805878,92.6524821548415,1487.18183590394,4074.29941848073,479.507224858125,3594.79219362259,0.217999999999998,0.417999999999999,0,0,0.364000000000003,0,0,0,0,0,0.167999999999998,0.417999999999999,0,0,0.414000000000003,0,0,0,0,0
"3",1,1,2,1,1,1,0.15,2503.72294767225,391.514707678846,2112.20823999339,1564.24133940791,93.8107489574067,1470.43059045051,4067.96428708017,485.325456636253,3582.6388304439,0.232999999999997,0.413999999999999,0,0,0.353000000000004,0,0,0,0,0,0.157999999999998,0.413999999999999,0,0,0.428000000000004,0,0,0,0,0
"4",1,1,2,1,1,1,0.2,2512.79978411774,395.859097291615,2116.94068682613,1547.19159036021,95.3645684696404,1451.82702189057,4059.99137447796,491.223665761255,3568.7677087167,0.250999999999936,0.404000000000071,0,0,0.344999999999993,0,0,0,0,0,0.150999999999936,0.404000000000071,0,0,0.444999999999993,0,0,0,0,0
"5",1,1,2,1,1,1,0.25,2521.65791867447,399.701252197697,2121.95666647677,1532.43994379264,96.9930410554272,1435.44690273721,4054.09786246711,496.694293253124,3557.40356921399,0.268999999999965,0.392000000000049,0,0.0139999999999825,0.325000000000004,0,0,0,0,0,0.143999999999965,0.392000000000049,0,0.0139999999999825,0.450000000000004,0,0,0,0,0
"6",1,1,2,1,1,1,0.3,2530.28148416384,403.787658616988,2126.49382554686,1520.2982962812,98.2675494692654,1422.03074681193,4050.57978044504,502.055208086253,3548.52457235879,0.284999999999992,0.385000000000007,0,0.0299999999999973,0.300000000000004,0,0,0,0,0,0.134999999999992,0.385000000000007,0,0.0299999999999973,0.450000000000004,0,0,0,0,0
"7",1,1,2,1,1,1,0.35,2538.63118176145,407.180919978454,2131.450261783,1506.52709665785,99.6827840181432,1406.8443126397,4045.1582784193,506.863703996597,3538.2945744227,0.300999999999967,0.375000000000046,0,0.0489999999999835,0.275000000000003,0,0,0,0,0,0.125999999999967,0.375000000000046,0,0.0489999999999835,0.450000000000003,0,0,0,0,0
"8",1,1,2,1,1,1,0.4,2546.72529572743,410.165162568329,2136.5601331591,1491.9543130811,101.049064287485,1390.90524879361,4038.67960880853,511.214226855815,3527.46538195271,0.315999999999965,0.365000000000056,0,0.068999999999975,0.250000000000004,0,0,0,0,0,0.115999999999966,0.365000000000056,0,0.068999999999975,0.450000000000004,0,0,0,0,0
"9",1,1,2,1,1,1,0.45,2554.60819164259,412.638431086201,2141.96976055639,1476.16242879847,102.264262181919,1373.89816661655,4030.77062044106,514.90269326812,3515.86792717294,0.328999999999977,0.356000000000022,0,0.0899999999999982,0.225000000000004,0,0,0,0,0,0.103999999999977,0.356000000000021,0,0.0899999999999982,0.450000000000004,0,0,0,0,0
"10",1,1,2,1,1,1,0.5,2562.29026095158,415.538945192474,2146.7513157591,1462.08222784582,103.461539923143,1358.62068792267,4024.37248879739,519.000485115617,3505.37200368178,0.342999999999963,0.348000000000036,0,0.108999999999999,0.200000000000004,0,0,0,0,0,0.0929999999999621,0.348000000000035,0,0.108999999999999,0.450000000000004,0,0,0,0,0
