"","a1","a2","a3","c1","c2","c3","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1_1","alp1_2","alp1_3","alp1_4","alp1_5","alp1_6","alp1_7","alp1_8","alp1_9","alp1_10","alp2_1","alp2_2","alp2_3","alp2_4","alp2_5","alp2_6","alp2_7","alp2_8","alp2_9","alp2_10"
"1",1,2,1,1,2,2,0.05,4089.40696660807,1015.22413186137,3074.1828347467,2060.09829790215,451.811704911549,1608.2865929906,6149.50526451021,1467.03583677292,4682.4694277373,0.497444444444278,0.209999999999999,0.202,0,0,0,0,0,0,0.0905555555557235,0.129,0.237,0.220000000000001,0.229000000000001,0.184999999999999,0,0,0,0,0
"2",1,2,1,1,2,2,0.1,4096.85804483381,1021.8037828409,3075.05426199292,2038.68103237931,467.317094359236,1571.36393802007,6135.53907721312,1489.12087720014,4646.41820001299,0.588888888888733,0.205,0.175000000000001,0,0,0,0,0,0,0.0311111111112679,0.117,0.231,0.212000000000001,0.230000000000001,0.21,0,0,0,0,0
"3",1,2,1,1,2,2,0.15,4097.74363466755,1022.60117950817,3075.14245515937,2029.60587242869,475.195317367152,1554.41055506153,6127.34950709624,1497.79649687532,4629.55301022091,0.633,0.208,0.159,0,0,0,0,0,0,0,0.109,0.227,0.214,0.231,0.219,0,0,0,0,0
"4",1,2,1,1,2,2,0.2,4097.74363466755,1022.60117950817,3075.14245515937,2029.60587242869,475.195317367152,1554.41055506153,6127.34950709624,1497.79649687532,4629.55301022091,0.633,0.208,0.159,0,0,0,0,0,0,0,0.109,0.227,0.214,0.231,0.219,0,0,0,0,0
"5",1,2,1,1,2,2,0.25,4097.74363466755,1022.60117950817,3075.14245515937,2029.60587242869,475.195317367152,1554.41055506153,6127.34950709624,1497.79649687532,4629.55301022091,0.633,0.208,0.159,0,0,0,0,0,0,0,0.109,0.227,0.214,0.231,0.219,0,0,0,0,0
"6",1,2,1,1,2,2,0.3,4097.74363466755,1022.60117950817,3075.14245515937,2029.60587242869,475.195317367152,1554.41055506153,6127.34950709624,1497.79649687532,4629.55301022091,0.633,0.208,0.159,0,0,0,0,0,0,0,0.109,0.227,0.214,0.231,0.219,0,0,0,0,0
"7",1,2,1,1,2,2,0.35,4097.74363466755,1022.60117950817,3075.14245515937,2029.60587242869,475.195317367152,1554.41055506153,6127.34950709624,1497.79649687532,4629.55301022091,0.633,0.208,0.159,0,0,0,0,0,0,0,0.109,0.227,0.214,0.231,0.219,0,0,0,0,0
"8",1,2,1,1,2,2,0.4,4097.74363466755,1022.60117950817,3075.14245515937,2029.60587242869,475.195317367152,1554.41055506153,6127.34950709624,1497.79649687532,4629.55301022091,0.633,0.208,0.159,0,0,0,0,0,0,0,0.109,0.227,0.214,0.231,0.219,0,0,0,0,0
"9",1,2,1,1,2,2,0.45,4097.74363466755,1022.60117950817,3075.14245515937,2029.60587242869,475.195317367152,1554.41055506153,6127.34950709624,1497.79649687532,4629.55301022091,0.633,0.208,0.159,0,0,0,0,0,0,0,0.109,0.227,0.214,0.231,0.219,0,0,0,0,0
"10",1,2,1,1,2,2,0.5,4097.74363466755,1022.60117950817,3075.14245515937,2029.60587242869,475.195317367152,1554.41055506153,6127.34950709624,1497.79649687532,4629.55301022091,0.633,0.208,0.159,0,0,0,0,0,0,0,0.109,0.227,0.214,0.231,0.219,0,0,0,0,0
