"","a1","a2","a3","c1","c2","c3","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1_1","alp1_2","alp1_3","alp1_4","alp1_5","alp1_6","alp1_7","alp1_8","alp1_9","alp1_10","alp2_1","alp2_2","alp2_3","alp2_4","alp2_5","alp2_6","alp2_7","alp2_8","alp2_9","alp2_10"
"1",1,2,2,1,2,2,0.05,5006.4422123406,945.974395813225,4060.46781652733,2680.88258545123,376.347038354663,2304.53554709657,7687.32479779183,1322.32143416789,6365.0033636239,0.229,0.224,0.202999999997409,0.0790000000025917,0,0,0,0,0,0.264999999999999,0,0,0.174,0.240999999999999,0.204,0.246000000000001,0.135,0,0,0
"2",1,2,2,1,2,2,0.1,5041.30901936393,975.407237981565,4065.90178138228,2656.82097583843,401.37371458447,2255.44726125396,7698.12999520236,1376.78095256604,6321.34904263624,0.314666666666372,0.214,0.209000000000001,0.052,0,0,0,0,0,0.210333333333627,0,0,0.145999999999999,0.241999999999999,0.213,0.233000000000001,0.166,0,0,0
"3",1,2,2,1,2,2,0.15,5067.86950920322,997.768301367367,4070.10120783582,2632.32281399162,425.420658203551,2206.90215578807,7700.19232319484,1423.18895957092,6277.0033636239,0.395999999999703,0.216,0.205000000000001,0.027,0,0,0,0,0,0.156000000000294,0,0,0.125,0.230999999999999,0.22,0.231000000000001,0.193000000000001,0,0,0
"4",1,2,2,1,2,2,0.2,5086.17201566336,1012.60691170728,4073.56510395607,2595.81634427564,448.032405594543,2147.7839386811,7681.98835993901,1460.63931730182,6221.34904263717,0.477999999999999,0.208,0.210000000000001,0,0,0,0,0,0,0.103999999999999,0,0,0.0990000000026834,0.230999999997316,0.212,0.234000000000001,0.213000000000001,0.0109999999999988,0,0
"5",1,2,2,1,2,2,0.25,5096.12799070519,1020.51452058151,4075.61347012363,2550.08449590354,464.003244378575,2086.08125152496,7646.21248660873,1484.51776496009,6161.69472164859,0.565333333333044,0.201,0.183000000000001,0,0,0,0,0,0,0.0506666666669546,0,0,0.0659999999999999,0.243,0.212,0.226000000000001,0.212000000000001,0.041,0,0
"6",1,2,2,1,2,2,0.3,5098.64570954498,1022.60117950817,4076.04453003676,2515.75908922589,475.195317367152,2040.56377185874,7614.40479877087,1497.79649687532,6116.6083018955,0.633,0.208,0.159,0,0,0,0,0,0,0,0,0,0.0490000000000001,0.234999999999999,0.223000000000001,0.213,0.221,0.059,0,0
"7",1,2,2,1,2,2,0.35,5098.64570954498,1022.60117950817,4076.04453003676,2515.75908922589,475.195317367152,2040.56377185874,7614.40479877087,1497.79649687532,6116.6083018955,0.633,0.208,0.159,0,0,0,0,0,0,0,0,0,0.0490000000000001,0.234999999999999,0.223000000000001,0.213,0.221,0.059,0,0
"8",1,2,2,1,2,2,0.4,5098.64570954498,1022.60117950817,4076.04453003676,2515.75908922589,475.195317367152,2040.56377185874,7614.40479877087,1497.79649687532,6116.6083018955,0.633,0.208,0.159,0,0,0,0,0,0,0,0,0,0.0490000000000001,0.234999999999999,0.223000000000001,0.213,0.221,0.059,0,0
"9",1,2,2,1,2,2,0.45,5098.64570954498,1022.60117950817,4076.04453003676,2515.75908922589,475.195317367152,2040.56377185874,7614.40479877087,1497.79649687532,6116.6083018955,0.633,0.208,0.159,0,0,0,0,0,0,0,0,0,0.0490000000000001,0.234999999999999,0.223000000000001,0.213,0.221,0.059,0,0
"10",1,2,2,1,2,2,0.5,5098.64570954498,1022.60117950817,4076.04453003676,2515.75908922589,475.195317367152,2040.56377185874,7614.40479877087,1497.79649687532,6116.6083018955,0.633,0.208,0.159,0,0,0,0,0,0,0,0,0,0.0490000000000001,0.234999999999999,0.223000000000001,0.213,0.221,0.059,0,0
