"","c1","c2","c3","a1","a2","a3","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1_1","alp1_2","alp1_3","alp1_4","alp1_5","alp1_6","alp1_7","alp1_8","alp1_9","alp1_10","alp2_1","alp2_2","alp2_3","alp2_4","alp2_5","alp2_6","alp2_7","alp2_8","alp2_9","alp2_10","alp12_diff_1","alp12_diff_2","alp12_diff_3","alp12_diff_4","alp12_diff_5","alp12_diff_6","alp12_diff_7","alp12_diff_8","alp12_diff_9","alp12_diff_10","alp_diff","gini_coef1","gini_coef2","gini_coef3","gini_coef4","gini_coef5","gini_coef6","gini_coef7","gini_coef8","gini_coef9","gini_coef10","gini"
"1",1,1,2,1,2,1,0.05,3116.89202384581,571.431431455026,2545.46059239078,1073.74156530292,51.8446410754027,1021.89692422752,4190.63358914873,623.276072530429,3567.35751661829,0.34099999999986,0.303000000000223,0,0,0.355999999999916,0,0,0,0,0,0.223999999999972,0.312000000000028,0.108000000000084,0,0.355999999999916,0,0,0,0,0,0.116999999999888,0.00899999999980461,0.108000000000084,0,3.33066907387547e-16,0,0,0,0,0,0.233999999999777,0.103539823008781,0.00731707317056986,0.5,NA,2.3389530013176e-16,NA,NA,NA,NA,NA,0.610856896179352
"2",1,1,2,1,2,1,0.1,3153.11177921431,587.874570051544,2565.23720916276,1040.30170819204,58.24705980121,982.054648390828,4193.41348740634,646.121629852754,3547.29185755359,0.41199999999997,0.249000000000002,0,0,0.339000000000029,0,0,0,0,0,0.143,0.336999999999998,0.180999999999974,0,0.339000000000029,0,0,0,0,0,0.26899999999997,0.0879999999999964,0.180999999999974,0,1.11022302462516e-16,0,0,0,0,0,0.537999999999941,0.242342342342329,0.0750853242320789,0.5,NA,8.18748543233822e-17,NA,NA,NA,NA,NA,0.817427666574408
"3",1,1,2,1,2,1,0.15,3185.32624997828,602.990425314659,2582.33582466364,1014.04580254742,65.6862437656816,948.359558781742,4199.3720525257,668.676669080341,3530.69538344538,0.485999999999993,0.191000000000023,0,0,0.322999999999992,0,0,0,0,0,0.0769999999999993,0.334000000000021,0.265999999999988,0,0.322999999999992,0,0,0,0,0,0.408999999999994,0.142999999999998,0.265999999999988,0,2.77555756156289e-16,0,0,0,0,0,0.817999999999981,0.36323268206039,0.136190476190463,0.5,NA,2.1482643665348e-16,NA,NA,NA,NA,NA,0.999423158250854
"4",1,1,2,1,2,1,0.2,3213.73695098207,614.246806034101,2599.49014494803,980.105025717804,72.4315619489016,907.673463768902,4193.84197669988,686.678367983003,3507.16360871693,0.553999999999925,0.133000000000036,0,0,0.313000000000038,0,0,0,0,0,0.00999999999999993,0.320999999999999,0.355999999999962,0,0.313000000000038,0,0,0,0,0,0.543999999999925,0.187999999999963,0.355999999999962,0,5.55111512312578e-17,0,0,0,0,0,1.08799999999985,0.482269503546097,0.207048458149723,0.5,NA,4.43379802166542e-17,NA,NA,NA,NA,NA,1.18931796169582
"5",1,1,2,1,2,1,0.25,3238.87846302123,627.333444528324,2611.54501849296,963.91708477414,79.929542628923,883.987542145217,4202.79554779537,707.262987157247,3495.53256063818,0.618999999999999,0.091,0,0,0.290000000000002,0,0,0,0,0,1.37148881213479e-13,0.283999999999863,0.345999999999998,0.0799999999999999,0.290000000000002,0,0,0,0,0,0.618999999999862,0.192999999999863,0.345999999999998,0.0799999999999999,0,0,0,0,0,0,1.23799999999972,0.499999999999779,0.257333333333244,0.5,0.5,0,NA,NA,NA,NA,NA,1.75733333333302
"6",1,1,2,1,2,1,0.3,3261.05062936549,638.299663315756,2622.75096604978,934.091357055641,84.180177157893,849.911179897749,4195.14198642113,722.479840473649,3472.66214594753,0.673999999999999,0.06,0,0,0.266000000000001,0,0,0,0,0,0,0.211,0.370000000000268,0.15299999999973,0.266000000000001,0,0,0,0,0,0.673999999999999,0.151,0.370000000000268,0.15299999999973,5.55111512312578e-17,0,0,0,0,0,1.348,0.5,0.27859778597786,0.5,0.5,5.21721346158436e-17,NA,NA,NA,NA,NA,1.77859778597786
"7",1,1,2,1,2,1,0.35,3280.51316174945,648.058514107002,2632.45464764249,914.025626479077,91.4556616971064,822.56996478197,4194.53878822853,739.514175804108,3455.02461242446,0.730999999999852,0.0260000000000023,0,0,0.243000000000145,0,0,0,0,0,0,0.144999999999991,0.380000000000008,0.231999999999855,0.243000000000145,0,0,0,0,0,0.730999999999852,0.118999999999989,0.380000000000008,0.231999999999855,1.66533453693773e-16,0,0,0,0,0,1.46199999999971,0.5,0.34795321637425,0.5,0.5,1.71330713676619e-16,NA,NA,NA,NA,NA,1.84795321637425
"8",1,1,2,1,2,1,0.4,3297.01623773325,657.733481991718,2639.28275574159,900.642675212886,96.0546790775857,804.587996135301,4197.65891294614,753.788161069303,3443.87075187689,0.78599999999971,1.45123601578419e-13,0,0,0.214000000000143,0,0,0,0,0,0,0.0839999999998605,0.390000000000138,0.312000000000002,0.214000000000001,0,0,0,0,0,0.78599999999971,0.0839999999997153,0.390000000000138,0.312000000000002,1.42413858483792e-13,0,0,0,0,0,1.57199999999971,0.5,0.499999999998272,0.5,0.5,1.66371330004374e-13,NA,NA,NA,NA,NA,1.99999999999844
"9",1,1,2,1,2,1,0.45,3310.36125401316,663.448603100824,2646.91265091239,871.379195127759,96.1844956894604,775.194699438299,4181.74044914092,759.633098790284,3422.10735035069,0.811000000000012,0,0,0,0.188999999999988,0,0,0,0,0,0,0.012,0.386999999999998,0.409000000000763,0.191999999999238,0,0,0,0,0,0.811000000000012,0.012,0.386999999999998,0.409000000000763,0.00299999999924994,0,0,0,0,0,1.62200000000002,0.5,0.5,0.5,0.5,0.00393700787303941,NA,NA,NA,NA,NA,2.00393700787304
"10",1,1,2,1,2,1,0.5,3320.98319386552,669.284811024298,2651.69838284127,840.21835743309,96.1973429446882,744.021014488402,4161.20155129861,765.482153968986,3395.71939732967,0.842000000000013,0,0,0,0.157999999999987,0,0,0,0,0,0,0,0.354999999999998,0.4080000000008,0.236999999999203,0,0,0,0,0,0.842000000000013,0,0.354999999999998,0.4080000000008,0.0789999999992159,0,0,0,0,0,1.68400000000003,0.5,NA,0.5,0.5,0.0999999999992127,NA,NA,NA,NA,NA,1.59999999999921
