"","c1","c2","c3","a1","a2","a3","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1_1","alp1_2","alp1_3","alp1_4","alp1_5","alp1_6","alp1_7","alp1_8","alp1_9","alp1_10","alp2_1","alp2_2","alp2_3","alp2_4","alp2_5","alp2_6","alp2_7","alp2_8","alp2_9","alp2_10","alp12_diff_1","alp12_diff_2","alp12_diff_3","alp12_diff_4","alp12_diff_5","alp12_diff_6","alp12_diff_7","alp12_diff_8","alp12_diff_9","alp12_diff_10","alp_diff","gini_coef1","gini_coef2","gini_coef3","gini_coef4","gini_coef5","gini_coef6","gini_coef7","gini_coef8","gini_coef9","gini_coef10","gini"
"1",1,2,2,1,2,2,0.05,4873.38506413014,862.426323819947,4010.95874031015,1376.53747842264,96.3665462148241,1280.17093220781,6249.92254255277,958.792870034771,5291.12967251797,0,0.229000000000011,0.208,0.213999999999932,0.0340000000000665,0.0349999999999889,0.221,0.0590000000000001,0,0,0,0.133,0.239,0.215000000000001,0.0980000000000112,0.0349999999999889,0.221000000000001,0.0590000000000001,0,0,0,0.0960000000000115,0.0310000000000007,0.001000000000069,0.0639999999999447,2.08166817117217e-17,8.32667268468867e-17,0,0,0,0.192000000000026,NA,0.132596685082885,0.0346756152125288,0.00116550116558177,0.24242424242389,1.48690583655202e-16,9.41931299172925e-17,0,NA,NA,0.410862043884886
"2",1,2,2,1,2,2,0.1,4902.88021855609,883.39040491743,4019.48981363863,1363.63676191119,106.775503755531,1256.86125815566,6266.51698046728,990.165908672961,5276.35107179428,0.023750000000048,0.245999999999752,0.209000000000246,0.215999999999999,0.006,0.0192499999999538,0.221,0.0590000000000001,0,0,0,0.116,0.228000000000001,0.213000000000001,0.143750000000046,0.0192499999999538,0.221000000000001,0.0590000000000001,0,0,0.023750000000048,0.129999999999752,0.0189999999997547,0.00299999999999889,0.137750000000046,3.12250225675825e-17,8.32667268468867e-17,6.93889390390723e-18,0,0,0.313499999999601,0.5,0.179558011049505,0.0217391304344897,0.00349650349650221,0.45993322203674,4.0551977360594e-16,9.41931299172925e-17,2.94020928131662e-17,NA,NA,1.16472686701724
"3",1,2,2,1,2,2,0.15,4929.96706487479,902.42993177831,4027.53713309641,1353.81171078588,116.881594281277,1236.9301165046,6283.77877566066,1019.31152605959,5264.46724960102,0.0579999999999786,0.257999999999999,0.204,0.198,0,0.00200000000004642,0.220999999999977,0.0590000000000001,0,0,0,0.0839999999999999,0.237000000000001,0.211000000000001,0.185999999999977,0.00200000000004642,0.220999999999977,0.0590000000000001,0,0,0.0579999999999786,0.173999999999999,0.0330000000000009,0.0130000000000013,0.185999999999977,4.33680868994202e-18,2.77555756156289e-17,6.93889390390723e-18,0,0,0.463999999999957,0.5,0.25438596491228,0.0374149659863955,0.0158924205378989,0.5,5.4210108623017e-16,3.13977099724341e-17,2.94020928131662e-17,NA,NA,1.30769335143657
"4",1,2,2,1,2,2,0.2,4954.33266207415,920.325637592035,4034.00702448202,1343.00446335371,127.512737665475,1215.49172568824,6297.33712542786,1047.83837525751,5249.49875017025,0.105399999999978,0.252999999999998,0.205,0.171,0,0,0.2066,0.0590000000000001,0,0,0,0.0559999999999978,0.236000000000001,0.224000000000001,0.216000000000001,0.00240000000000003,0.2066,0.0590000000000001,0,0,0.105399999999978,0.197,0.031000000000001,0.0530000000000015,0.216000000000001,0.00240000000000003,2.22044604925031e-16,6.93889390390723e-18,0,0,0.604799999999982,0.5,0.318770226537222,0.0351473922902505,0.0670886075949385,0.5,0.5,2.68689018544326e-16,2.94020928131662e-17,NA,NA,1.92100622642241
"5",1,2,2,1,2,2,0.25,4976.47321439497,935.50377985198,4040.96943454293,1329.02383244674,136.806699085472,1192.21713336126,6305.49704684171,1072.31047893745,5233.1865679042,0.148199999999972,0.245999999999999,0.21,0.147,0,2.97956696165937e-14,0.1898,0.059,0,0,0,0.035,0.241000000000001,0.225000000000001,0.211000000000001,0.0392,0.1898,0.0590000000000001,0,0,0.148199999999972,0.210999999999999,0.0310000000000009,0.0780000000000011,0.211000000000001,0.0391999999999703,1.66533453693773e-16,6.93889390390723e-18,0,0,0.718399999999943,0.5,0.375444839857651,0.0343680709534378,0.104838709677421,0.5,0.49999999999924,2.19353864190955e-16,2.94020928131662e-17,NA,NA,2.01465162048775
"6",1,2,2,1,2,2,0.3,4996.77625651455,949.499514513333,4047.27674200123,1319.51807807767,143.955492213962,1175.56258586371,6316.29433459222,1093.4550067273,5222.83932786494,0.191000000000001,0.243999999999999,0.202,0.132,0,0,0.172,0.059,0,0,0,0.022,0.234000000000175,0.223999999999827,0.213000000000001,0.0760000000000001,0.172,0.0590000000000001,0,0,0.191000000000001,0.221999999999999,0.0320000000001755,0.0919999999998265,0.213000000000001,0.0760000000000001,2.77555756156289e-16,6.93889390390723e-18,0,0,0.826000000000003,0.5,0.417293233082706,0.0366972477066086,0.129213483145887,0.5,0.5,4.03424064180652e-16,2.94020928131662e-17,NA,NA,2.0832039639352
"7",1,2,2,1,2,2,0.35,5015.28883119007,962.062899422349,4053.22593176768,1301.81295559236,149.624952094725,1152.18800349763,6317.10178678243,1111.68785151707,5205.41393526531,0.231000000000001,0.237999999999999,0.203,0.116,0,0,0.153,0.0590000000000001,0,0,0,0.009,0.220000000000476,0.232999999999526,0.211000000000001,0.115,0.153,0.0590000000000001,0,0,0.231000000000001,0.228999999999999,0.0170000000004764,0.116999999999526,0.211000000000001,0.115,2.77555756156289e-17,0,0,0,0.920000000000002,0.5,0.463562753036437,0.0200945626482946,0.167621776503846,0.5,0.5,4.53522477379557e-17,0,NA,NA,2.15127909218858
"8",1,2,2,1,2,2,0.4,5031.82391612654,973.13860103306,4058.68531509345,1291.74386278393,159.299859393962,1132.44400338997,6323.56777891047,1132.43846042702,5191.12931848342,0.27139999999987,0.227000000000003,0.215,0.0910000000000002,0,0,0.136600000000127,0.059,0,0,0,0,0.204,0.237000000000001,0.206000000000001,0.157399999999873,0.136600000000127,0.059,0,0,0.27139999999987,0.227000000000003,0.0109999999999993,0.146000000000001,0.206000000000001,0.157399999999873,2.77555756156289e-17,1.38777878078145e-17,0,0,1.01879999999975,0.5,0.5,0.0131264916467772,0.222560975609757,0.5,0.5,5.07971735278242e-17,5.88041856263324e-17,NA,NA,2.23568746725653
"9",1,2,2,1,2,2,0.45,5046.22306637522,983.169723739979,4063.05334263517,1283.83177382056,168.628326051858,1115.2034477687,6330.05484019577,1151.79804979184,5178.25679040387,0.314000000000002,0.225999999999999,0.200999999999194,0.0810000000008053,0,0,0.119,0.0590000000000001,0,0,0,0,0.175,0.242000000000001,0.205000000000001,0.2,0.119,0.0590000000000001,0,0,0.314000000000002,0.225999999999999,0.025999999999194,0.160999999999196,0.205000000000001,0.2,1.38777878078145e-17,6.93889390390723e-18,0,0,1.13199999999839,0.5,0.5,0.0345744680841086,0.249226006190083,0.5,0.5,2.91550164029715e-17,2.94020928131662e-17,NA,NA,2.28380047427419
"10",1,2,2,1,2,2,0.5,5058.46775250088,993.221695568075,4065.24605693269,1277.04405230987,178.032710686595,1099.01134162328,6335.51180481075,1171.25440625467,5164.25739855596,0.355999999999826,0.221000000000008,0.207000000000004,0.0599999999999956,0,0,0.0970000000001667,0.059,0,0,0,0,0.150999999999998,0.246999999999999,0.209000000000005,0.236000000000002,0.0979999999999978,0.0590000000000001,0,0,0.355999999999826,0.221000000000008,0.056000000000006,0.187000000000004,0.209000000000005,0.236000000000002,0.00099999999983108,6.93889390390723e-18,0,0,1.26599999999968,0.5,0.5,0.0782122905028012,0.30456026058633,0.5,0.5,0.00256410256366727,2.94020928131662e-17,NA,NA,2.3853366536528
