"","c1","c2","c3","a1","a2","a3","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1_1","alp1_2","alp1_3","alp1_4","alp1_5","alp1_6","alp1_7","alp1_8","alp1_9","alp1_10","alp2_1","alp2_2","alp2_3","alp2_4","alp2_5","alp2_6","alp2_7","alp2_8","alp2_9","alp2_10","alp12_diff_1","alp12_diff_2","alp12_diff_3","alp12_diff_4","alp12_diff_5","alp12_diff_6","alp12_diff_7","alp12_diff_8","alp12_diff_9","alp12_diff_10","alp_diff","gini_coef1","gini_coef2","gini_coef3","gini_coef4","gini_coef5","gini_coef6","gini_coef7","gini_coef8","gini_coef9","gini_coef10","gini"
"1",1,2,2,1,1,1,0.05,3109.99763770853,626.995844456215,2483.00179325231,915.009339157669,68.1583601016752,846.850979055994,4025.0069768662,695.15420455789,3329.8527723083,0.0439999999999989,0.224000000000001,0.194,0.199000000000001,0.057,0.002,0.221,0.059,0,0,0,0.162,0.256,0.212000000000001,0.088,0.002,0.221,0.0589999999999999,0,0,0.0439999999999989,0.0620000000000012,0.062,0.0129999999999999,0.031,4.33680868994202e-19,2.77555756156289e-17,2.77555756156289e-17,0,0,0.212,0.5,0.0803108808290169,0.0688888888888889,0.0158150851581507,0.106896551724138,5.42101086242752e-17,3.1397709972431e-17,1.17608371252665e-16,NA,NA,0.771911406600195
"2",1,2,2,1,1,1,0.1,3131.45435813065,641.644364062646,2489.80999406798,899.997438670083,74.7381526783929,825.25928599169,4031.45179680073,716.382516741038,3315.06928005967,0.0717499999999847,0.233000000000001,0.197,0.199000000000001,0.032,0,0.20825,0.059,0,0,0,0.136,0.251,0.219000000000001,0.126749999999986,0,0.20825,0.0589999999999999,0,0,0.0717499999999847,0.0970000000000009,0.054,0.0199999999999997,0.0947499999999863,0,3.60822483003176e-16,2.08166817117217e-17,0,0,0.337499999999972,0.5,0.131436314363144,0.0602678571428572,0.0239234449760761,0.298425196850376,NA,4.33160243701292e-16,8.82062784394987e-17,NA,NA,1.01405281333245
"3",1,2,2,1,1,1,0.15,3151.13836327644,656.395573548755,2494.74278972766,897.205467761046,82.5536897597796,814.651778001267,4048.34383103749,738.949263308534,3309.39456772893,0.10700000000076,0.239999999998442,0.19100000000078,0.205000000000001,0.006,0,0.192,0.059,0,0,0,0.12,0.236,0.228000000000001,0.165,0,0.192,0.0589999999999999,0,0,0.10700000000076,0.119999999998442,0.0449999999992205,0.023,0.159,0,2.77555756156289e-16,4.16333634234434e-17,0,0,0.453999999998423,0.5,0.166666666665224,0.0526932084299043,0.0265588914549653,0.464912280701754,NA,3.61400724161835e-16,1.76412556878997e-16,NA,NA,1.21083104725185
"4",1,2,2,1,1,1,0.2,3169.21859858588,668.087939008534,2501.13065957733,890.602388736916,90.4833626650395,800.119026071877,4059.8209873228,758.571301673573,3301.24968564921,0.147000000000001,0.236000000000001,0.191,0.189000000000001,0,-1.99590716055119e-13,0.178000000000175,0.059,0,0,0,0.0880000000002977,0.241999999999701,0.219,0.213999999999827,0,0.178000000000175,0.0589999999999999,0,0,0.147000000000001,0.147999999999703,0.0509999999997007,0.0299999999999998,0.213999999999827,1.99590716055119e-13,2.77555756156289e-16,4.16333634234434e-17,0,0,0.589999999999431,0.5,0.228395061727727,0.0588914549650531,0.0367647058823526,0.5,-0.5,3.89825500219125e-16,1.76412556878997e-16,NA,NA,0.824051222575133
"5",1,2,2,1,1,1,0.25,3185.64509023035,679.929909254882,2505.71518097547,883.691099216167,96.0617010630766,787.629398153091,4069.33618944652,775.991610317959,3293.34457912856,0.187599999999969,0.232000000000001,0.197,0.166,0,0,0.158400000000029,0.059,0,0,0,0.065,0.247,0.215000000000001,0.233000000000001,0.0225999999999713,0.158400000000029,0.0589999999999999,0,0,0.187599999999969,0.167000000000001,0.0500000000000001,0.0490000000000002,0.233000000000001,0.0225999999999713,8.32667268468867e-17,2.08166817117217e-17,0,0,0.709199999999943,0.5,0.281144781144782,0.0563063063063064,0.0643044619422573,0.5,0.5,1.31418445149734e-16,8.82062784394987e-17,NA,NA,1.90175554939335
"6",1,2,2,1,1,1,0.3,3200.69895972249,689.762579440287,2510.9363802822,872.569347468839,102.708030355661,769.861317113178,4073.26830719132,792.470609795948,3280.79769739538,0.226799999999964,0.233000000000001,0.192,0.145,0,0,0.144200000000034,0.059,0,0,0,0.043,0.243,0.229000000000001,0.223000000000001,0.0587999999999661,0.144200000000034,0.0589999999999999,0,0,0.226799999999964,0.190000000000001,0.0510000000000002,0.0840000000000003,0.223000000000001,0.0587999999999661,2.77555756156289e-17,1.38777878078145e-17,0,0,0.833599999999933,0.5,0.344202898550725,0.0586206896551726,0.112299465240642,0.5,0.5,4.81199299854756e-17,5.88041856263325e-17,NA,NA,2.01512305344654
"7",1,2,2,1,1,1,0.35,3214.38673154247,698.218966419949,2516.16776512255,859.11865424068,106.401456365854,752.717197874827,4073.50538578315,804.620422785803,3268.88496299738,0.265599999999878,0.226000000000001,0.194,0.126,0,7.98477365984342e-14,0.129400000000041,0.059,0,0,0,0.022,0.240999999999594,0.233000000000407,0.214,0.101599999999959,0.129400000000041,0.0589999999999999,0,0,0.265599999999878,0.204000000000001,0.0469999999995937,0.107000000000407,0.214,0.101599999999879,2.22044604925031e-16,2.77555756156289e-17,0,0,0.939199999999759,0.5,0.411290322580646,0.0540229885053306,0.14902506963828,0.5,0.499999999999214,4.28988803950853e-16,1.17608371252665e-16,NA,NA,2.11433838072347
"8",1,2,2,1,1,1,0.4,3226.55417305578,706.209636510764,2520.34453654504,848.193848190288,110.668844741987,737.525003448301,4074.74802124606,816.878481252751,3257.86953999334,0.303399999999872,0.213000000000001,0.206,0.109,0,0,0.109600000000126,0.059,0,0,0,0.009,0.227,0.237000000000001,0.214000000000001,0.144399999999874,0.109600000000126,0.0589999999999999,0,0,0.303399999999872,0.204000000000001,0.0210000000000002,0.128000000000001,0.214000000000001,0.144399999999874,3.7470027081099e-16,4.16333634234434e-17,0,0,1.01479999999975,0.5,0.45945945945946,0.0242494226327947,0.184971098265896,0.5,0.5,8.54699522834305e-16,1.76412556878997e-16,NA,NA,2.16867998035815
"9",1,2,2,1,1,1,0.45,3237.50231680625,713.647278299855,2523.85503850642,839.627569046089,117.506528422529,722.12104062356,4077.12988585234,831.153806722384,3245.97607912998,0.335999999999872,0.219000000000001,0.206,0.0870000000000001,0,0,0.0930000000001271,0.059,0,0,0,0,0.211,0.238000000000001,0.214000000000001,0.184999999999873,0.0930000000001272,0.0589999999999999,0,0,0.335999999999872,0.219000000000001,0.00500000000000045,0.151000000000001,0.214000000000001,0.184999999999873,8.32667268468867e-17,1.38777878078145e-17,0,0,1.10999999999975,0.5,0.5,0.00599520383693099,0.232307692307693,0.5,0.5,2.23835287222508e-16,5.88041856263325e-17,NA,NA,2.23830289614462
"10",1,2,2,1,1,1,0.5,3246.97010448262,719.875468878474,2527.09463560416,832.524049171633,123.166980334615,709.357068837017,4079.49415365425,843.042449213089,3236.45170444117,0.375000000000002,0.214000000000001,0.198,0.0790000000000001,0,0,0.0749999999999966,0.059,0,0,0,0,0.178,0.24699999999907,0.205000000000932,0.236000000001875,0.0749999999981251,0.0589999999999999,0,0,0.375000000000002,0.214000000000001,0.0199999999999994,0.16799999999907,0.205000000000932,0.236000000001875,1.87150295261063e-12,2.77555756156289e-17,0,0,1.21800000000375,0.5,0.5,0.0265957446808503,0.25766871165575,0.5,0.5,6.23834317544687e-12,1.17608371252665e-16,NA,NA,2.28426445634284
