"","c1","c2","c3","a1","a2","a3","delta","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1_1","alp1_2","alp1_3","alp1_4","alp1_5","alp1_6","alp1_7","alp1_8","alp1_9","alp1_10","alp2_1","alp2_2","alp2_3","alp2_4","alp2_5","alp2_6","alp2_7","alp2_8","alp2_9","alp2_10","alp12_diff_1","alp12_diff_2","alp12_diff_3","alp12_diff_4","alp12_diff_5","alp12_diff_6","alp12_diff_7","alp12_diff_8","alp12_diff_9","alp12_diff_10","alp_diff","gini_coef1","gini_coef2","gini_coef3","gini_coef4","gini_coef5","gini_coef6","gini_coef7","gini_coef8","gini_coef9","gini_coef10","gini"
"1",1,1,1,1,1,1,0.05,2041.82418820316,479.164925357084,1562.65926284605,548.158479874507,55.171861630236,492.986618244271,2589.98266807767,534.33678698732,2055.64588109032,0.770999999999925,0.103000000000117,0.125999999999957,0,0,0,0,0,0,0,0.545999999999968,0.328000000000059,0.125999999999971,0,0,0,0,0,0,0,0.224999999999957,0.224999999999943,1.44606548957427e-14,0,0,0,0,0,0,0,0.449999999999914,0.0854214123006741,0.26102088167036,2.86917755867993e-14,NA,NA,NA,NA,NA,NA,NA,0.346442293971063
"2",1,1,1,1,1,1,0.1,2055.28834483324,487.514313089425,1567.7740317438,537.66392556861,67.2477114348968,470.416214133713,2592.95227040185,554.762024524322,2038.19024587751,0.893999999999971,0,0.106000000000029,0,0,0,0,0,0,0,0.447999999999998,0.442000000000002,0.11,0,0,0,0,0,0,0,0.445999999999973,0.442000000000002,0.00399999999997085,0,0,0,0,0,0,0,0.891999999999945,0.166169895678086,0.5,0.00925925925919051,NA,NA,NA,NA,NA,NA,NA,0.675429154937277
"3",1,1,1,1,1,1,0.15,2064.10622625182,490.007170924447,1574.09905532737,499.412326941982,67.2543117567143,432.158015185268,2563.5185531938,557.261482681161,2006.25707051264,0.925999999999907,8.72953287304093e-14,0.0739999999999999,0,0,0,0,0,0,0,0.365999999999997,0.445000000000002,0.189,0,0,0,0,0,0,0,0.55999999999991,0.444999999999914,0.115000000000001,0,0,0,0,0,0,0,1.11999999999982,0.216718266253851,0.499999999999804,0.218631178707225,NA,NA,NA,NA,NA,NA,NA,0.93534944496088
"4",1,1,1,1,1,1,0.2,2069.11962630818,491.621925269254,1577.49770103894,466.392657124834,67.255638390795,399.137018734039,2535.51228343302,558.877563660049,1976.63471977298,0.962000000000001,0,0.0379999999999998,0,0,0,0,0,0,0,0.291999999999997,0.440000000000117,0.267999999999885,0,0,0,0,0,0,0,0.670000000000004,0.440000000000117,0.229999999999885,0,0,0,0,0,0,0,1.34000000000001,0.26714513556619,0.5,0.375816993464006,NA,NA,NA,NA,NA,NA,NA,1.1429621290302
"5",1,1,1,1,1,1,0.25,2070.61702547996,492.16701243585,1578.45001304413,436.961532380113,67.2556684771179,369.705863902995,2507.57855786007,559.422680912968,1948.15587694712,1,0,0,0,0,0,0,0,0,0,0.22,0.442,0.338,0,0,0,0,0,0,0,0.78,0.442,0.338,0,0,0,0,0,0,0,1.56,0.319672131147541,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,1.31967213114754
"6",1,1,1,1,1,1,0.3,2070.61702547996,492.16701243585,1578.45001304413,436.961532380113,67.2556684771179,369.705863902995,2507.57855786007,559.422680912968,1948.15587694712,1,0,0,0,0,0,0,0,0,0,0.22,0.442000000000001,0.338,0,0,0,0,0,0,0,0.78,0.442000000000001,0.338,0,0,0,0,0,0,0,1.56,0.319672131147541,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,1.31967213114754
"7",1,1,1,1,1,1,0.35,2070.61702547996,492.16701243585,1578.45001304413,436.961532380113,67.2556684771179,369.705863902995,2507.57855786007,559.422680912968,1948.15587694712,1,0,0,0,0,0,0,0,0,0,0.22,0.442000000000001,0.338,0,0,0,0,0,0,0,0.78,0.442000000000001,0.338,0,0,0,0,0,0,0,1.56,0.319672131147541,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,1.31967213114754
"8",1,1,1,1,1,1,0.4,2070.61702547996,492.16701243585,1578.45001304413,436.961532380113,67.2556684771179,369.705863902995,2507.57855786007,559.422680912968,1948.15587694712,1,0,0,0,0,0,0,0,0,0,0.22,0.442,0.338,0,0,0,0,0,0,0,0.78,0.442,0.338,0,0,0,0,0,0,0,1.56,0.319672131147541,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,1.31967213114754
"9",1,1,1,1,1,1,0.45,2070.61702547996,492.16701243585,1578.45001304413,436.961532380113,67.2556684771179,369.705863902995,2507.57855786007,559.422680912968,1948.15587694712,1,0,0,0,0,0,0,0,0,0,0.22,0.442,0.338,0,0,0,0,0,0,0,0.78,0.442,0.338,0,0,0,0,0,0,0,1.56,0.319672131147541,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,1.31967213114754
"10",1,1,1,1,1,1,0.5,2070.61702547996,492.16701243585,1578.45001304413,436.961532380113,67.2556684771179,369.705863902995,2507.57855786007,559.422680912968,1948.15587694712,1,0,0,0,0,0,0,0,0,0,0.22,0.442,0.338,0,0,0,0,0,0,0,0.78,0.442,0.338,0,0,0,0,0,0,0,1.56,0.319672131147541,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,1.31967213114754
