"","n1","n2","opt_obj","opt_obj1","opt_obj2","opt_surplus","opt_surplus1","opt_surplus2","opt_welfare","opt_welfare1","opt_welfare2","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp1","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2","alp2"
"11",550,1450,4574.46642732675,136.545400373072,4437.92102695371,5075.17631050058,750.603854264832,4324.57245623575,9649.64273782733,887.149254637904,8762.49348318946,0,0.0627586206896553,0.344827586206898,0.142068965517242,0.450344827586212,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0
"12",600,1400,4442.65753665727,158.715155959334,4283.94238069797,4981.55828402492,852.380310292008,4129.17797373291,9424.21582068219,1011.09546625134,8413.12035443088,0,0.103333333333329,0.328333333333333,0.110476190476193,0.45785714285714,0,0,0,0,0,0.0499999999999998,0,0,0,0.0499999999999999,0,0,0,0,0
"13",650,1350,4307.649108113,177.397283744969,4130.25182436809,4928.98140616811,938.501707021513,3990.47969914659,9236.63051428111,1115.89899076648,8120.73152351468,0,0.137037037037037,0.301424501424501,0.108205128205128,0.453333333333334,0,0,0,0,0,0.0499999999999999,0,0,0,0.05,0,0,0,0,0
"14",700,1300,4161.19990234663,198.101236042704,3963.09866630396,4938.94629577634,1059.05077220361,3879.89552357273,9100.14619812297,1257.15200824632,7842.99418987668,0,0.185494505494505,0.271428571428571,0.0900000000000002,0.453076923076923,0,0,0,0,0,0.0500000000000007,0,0,0,0.0499999999999999,0,0,0,0,0
"15",750,1250,4025.57684242052,218.87638790697,3806.70045451359,4874.34281529259,1156.87575054839,3717.4670647442,8899.91965771311,1375.75213845536,7524.16751925779,0,0.216,0.25266666666667,0.0817333333333307,0.449600000000006,0,0,0,0,0,0.0500000000000032,0,0,0,0.0500000000000033,0,0,0,0,0
"16",800,1200,3886.34760668251,242.680344864155,3643.66726181839,4804.22282676109,1250.65755527148,3553.56527148961,8690.5704334436,1493.33790013563,7197.232533308,0,0.266666666666668,0.211249999999998,0.0729166666666666,0.449166666666668,0,0,0,0,0,0.0500000000000001,0,0,0,0.0499999999999999,0,0,0,0,0
"17",850,1150,3745.34320163478,261.739480791222,3483.60372084359,4681.41651400648,1331.30513186121,3350.11138214527,8426.75971564126,1593.04461265243,6833.71510298886,0,0.300869565217394,0.186777493606142,0.0680051150895094,0.444347826086962,0,0,0,0,0,0.0500000000000001,0,0,0,0.0500000000000002,0,0,0,0,0
"18",900,1100,3601.49067005261,281.683539922413,3319.8071301302,4506.11674233225,1392.06039518391,3114.05634714834,8107.60741238485,1673.74393510632,6433.86347727854,0,0.335454545454548,0.160909090909091,0.0663636363636364,0.437272727272725,0,0,0,0,0,0.0500000000000001,0,0,0,0.0499999999999998,0,0,0,0,0
"19",950,1050,3461.22200398643,305.791017461942,3155.43098652451,4550.3192482591,1528.28559192004,3022.03365633906,8011.54125224553,1834.07660938198,6177.46464286357,0,0.382631578947369,0.126315789473684,0.060576441102755,0.430476190476192,0,0,0,0,0,0.0499999999999995,0,0,0,0.0499999999999999,0,0,0,0,0
"20",1000,1000,3325.1338126878,331.029027949705,2994.10478473811,4613.19968519514,1676.72630187556,2936.47338331959,7938.33349788294,2007.75532982526,5930.5781680577,0,0.434000000000028,0.0870000000000097,0.0519999999999657,0.427000000000002,0,0,0,0,0,0.0500000000000001,0,0,0,0.0500000000000001,0,0,0,0,0
